Date Open High Low Close Volume Adjusted
2007-01-03 287.769226 293.461548 287.538452 292.076935 5618964 189.216171
2007-01-04 292.076935 292.307678 288.076935 290.384613 4067544 188.119843
2007-01-05 289 290.461548 287 288.923065 3513536 187.173096
2007-01-08 288.076935 289.769226 286.538452 288.846161 3082781 187.123215
2007-01-09 290.615387 292.230774 287.384613 288.846161 3197662 187.123215
2007-01-10 287.538452 289.307678 287.230774 288.923065 3119558 187.173096
2007-01-11 288.461548 292 287.846161 291.692322 4008121 188.967026
2007-01-12 291.076935 292.307678 289.769226 291.461548 3372720 188.81749
2007-01-16 292.307678 294.230774 291.769226 293.153839 4045366 189.913834
2007-01-17 293.692322 294.461548 291.153839 292.153839 3960164 189.266022
2007-01-18 292.384613 293.615387 286.615387 292.307678 5408390 189.365631
2007-01-19 285.769226 288.461548 283.461548 284.230774 8177780 184.133194
2007-01-22 285.615387 287.153839 281.461548 282.692322 5380011 183.136551
2007-01-23 282.153839 282.615387 279.846161 281.153839 4567680 182.139893
2007-01-24 282.307678 282.692322 280.923065 281.846161 2789605 182.588348
2007-01-25 281.923065 282.307678 278.923065 279.538452 3357926 181.093323
2007-01-26 280.384613 281.153839 277 277.461548 3370094 179.747925
2007-01-29 277.461548 279.615387 277.153839 278.384613 3243175 180.345886
2007-01-30 278.461548 279.538452 275.076935 277.153839 5608473 179.548569
2007-01-31 276.923065 278.615387 275.615387 277.307678 4701359 179.648209
2007-02-01 278.307678 278.769226 275.076935 278.692322 4922957 180.545258
2007-02-02 278.923065 280 277.846161 279 3263936 180.744522
2007-02-05 279 280.615387 278.461548 279.769226 3406273 181.242905
2007-02-06 280 280.307678 278.692322 279.307678 2954900 180.943893
2007-02-07 279.384613 279.615387 277.384613 277.692322 2778321 179.897369
2007-02-08 277.384613 277.384613 273.846161 274.923065 4378166 178.103439
2007-02-09 274.692322 275.692322 272.923065 273.307678 3875144 177.056915
2007-02-12 273.461548 276 273.461548 274.153839 2471339 177.605087
2007-02-13 274.153839 276.153839 274.153839 275.153839 2985190 178.252914
2007-02-14 276.384613 280.769226 275.307678 280.538452 4148053 181.741211
2007-02-15 279.692322 280.538452 277.384613 278 3720444 180.096756
2007-02-16 277.461548 277.692322 275.923065 275.923065 4036422 178.75119
2007-02-20 275.846161 277.923065 275 277.769226 3060928 179.947205
2007-02-21 276.846161 277.692322 275.538452 276.230774 4507139 178.950592
2007-02-22 275.538452 276 271.615387 272.307678 4896294 177.795334
2007-02-23 271.769226 271.923065 269.923065 270 4959786 176.288651
2007-02-26 271.230774 272.153839 270.384613 271.846161 3758378 177.494095
2007-02-27 271.538452 274.538452 265.384613 266.615387 8148205 174.078781
2007-02-28 267.692322 269.846161 266.538452 268.538452 6593509 175.334351
2007-03-01 266.230774 270.923065 264 269.230774 6679855 175.786392
2007-03-02 268.692322 270.384613 266.923065 268.230774 5872997 175.133514
2007-03-05 267.230774 269 265.538452 265.769226 4270422 173.526337
2007-03-06 267.153839 268 265.538452 267.076935 4419675 174.380127
2007-03-07 267.230774 267.307678 264 264.076935 5068336 172.421387
2007-03-08 266.153839 266.461548 264.230774 265 3786185 173.024094
2007-03-09 265.923065 266.461548 263.230774 264 4449874 172.37114
2007-03-12 263.692322 266.384613 261.615387 264.923065 3926858 172.973785
2007-03-13 263.615387 264.461548 261.615387 262.230774 5056753 171.215912
2007-03-14 262.230774 264.615387 260.769226 263.923065 5274256 172.320908
2007-03-15 263.076935 266.769226 262.384613 265.538452 4657224 173.375641
2007-03-16 266.153839 268 263.461548 264.307678 5823649 172.572021
2007-03-19 265.384613 266.692322 264.846161 266.692322 3448796 174.129059
2007-03-20 266.384613 268.076935 265.384613 267.461548 3674372 174.631241
2007-03-21 267.307678 274.615387 267.153839 272.923065 6556394 178.197189
2007-03-22 272.615387 275.692322 272.307678 275.461548 4371406 179.854614
2007-03-23 275.307678 276.230774 273.846161 275.538452 4350294 179.9048
2007-03-26 275.769226 276.923065 272.615387 276.923065 3857789 180.808899
2007-03-27 275.384613 276.153839 274.307678 275.307678 3858049 179.754135
2007-03-28 274.615387 274.846161 271.538452 273.461548 5384795 178.548752
2007-03-29 273.846161 274.846161 271.846161 273.461548 3571334 178.548752
2007-03-30 273.538452 273.692322 269.230774 272 4442113 177.594498
2007-04-02 272 273.307678 270.076935 271.461548 3054506 177.242874
2007-04-03 272.538452 273.846161 270.538452 271.692322 4025567 177.393585
2007-04-04 272.076935 272.153839 269.769226 270.076935 4510662 176.338898
2007-04-05 270.230774 270.692322 268.769226 269.384613 3461289 175.886856
2007-04-09 270 270.384613 267.307678 267.538452 3439267 174.681412
2007-04-10 267.692322 269.153839 267.307678 268.307678 3806270 175.183685
2007-04-11 269.230774 270.769226 268.153839 268.846161 3961906 175.535294
2007-04-12 270.461548 271.076935 268.153839 270.615387 4003181 176.690414
2007-04-13 273.846161 273.846161 271.153839 272.153839 4633577 177.694977
2007-04-16 273.076935 273.846161 270.769226 272 4394572 177.594498
2007-04-17 272.076935 272.076935 269.692322 270.769226 4989439 176.790909
2007-04-18 270.461548 271.153839 268.461548 270.230774 4938843 176.439301
2007-04-19 269.615387 272.153839 268.461548 269.230774 5257954 175.786392
2007-04-20 271 271.076935 268.692322 270.230774 7589283 176.439301
2007-04-23 270.230774 270.384613 267.538452 267.692322 4570319 174.781906
2007-04-24 267.692322 268.769226 265.769226 267.384613 4865679 174.581055
2007-04-25 269.076935 272.692322 268.538452 272.384613 5853146 177.845612
2007-04-26 272.769226 275.769226 272.769226 275.692322 6001450 180.00528
2007-04-27 277.692322 286.307678 277.076935 283.384613 11923106 185.027802
2007-04-30 283.846161 286.461548 281.615387 283.538452 6525831 185.12822
2007-05-01 283.230774 286 282.461548 285.384613 5714969 186.333588
2007-05-02 285.538452 288.923065 285.538452 287 5233735 187.388321
2007-05-03 287.230774 287.846161 285.615387 287.230774 3659981 187.539001
2007-05-04 288 288 285.076935 285.769226 3904927 186.584747
2007-05-07 286.384613 287.923065 285.769226 286.461548 2701036 187.036697
2007-05-08 285.307678 286.076935 284.230774 285.230774 3464162 186.233154
2007-05-09 284 287.153839 283.538452 286.615387 3825549 187.137131
2007-05-10 285.384613 285.384613 282.307678 282.923065 3554616 184.726379
2007-05-11 283.076935 284.923065 283.076935 284.384613 2684669 185.680664
2007-05-14 284.615387 284.615387 280.769226 281.538452 3603249 183.822372
2007-05-15 282.076935 286.153839 281.615387 281.846161 3605680 184.023224
2007-05-16 282.461548 283.769226 280.923065 283.307678 3413397 184.977539
2007-05-17 282.692322 283.307678 280.384613 281 3167957 183.470795
2007-05-18 283.076935 286.692322 282.307678 284.307678 5393531 185.630447
2007-05-21 287 288.076935 284.615387 285.384613 5277662 186.333588
2007-05-22 286.307678 288.923065 285.461548 287.230774 3972605 187.539001
2007-05-23 288.461548 290.769226 287.230774 289.230774 4456192 188.844788
2007-05-24 290.307678 290.846161 286.769226 287.538452 3996161 187.739883
2007-05-25 287.923065 289.461548 287.076935 288.923065 3105622 188.643921
2007-05-29 289.307678 289.923065 285.692322 287.692322 3795740 187.840378
2007-05-30 286.076935 290.384613 285.846161 290.230774 3510468 189.497742
2007-05-31 290.615387 290.692322 288.538452 289.076935 4114045 188.744385
2007-06-01 289.846161 290.384613 286.461548 288.076935 4304196 188.091415
2007-06-04 290.692322 292.461548 289.846161 290.846161 4538495 189.899521
2007-06-05 290.846161 290.846161 287.461548 287.692322 5282563 187.840378
2007-06-06 286.923065 287.692322 285.538452 286.846161 4430959 187.287918
2007-06-07 286.230774 287.461548 282.538452 282.769226 5119127 184.625931
2007-06-08 283.076935 287.230774 281.923065 287.076935 3898700 187.438553
2007-06-11 285.153839 289.384613 285 288.153839 3441048 188.141647
2007-06-12 287.307678 288.384613 285 285 4167800 186.082474
2007-06-13 286.538452 289.692322 285.384613 289.538452 4333914 189.045761
2007-06-14 289.230774 292.153839 289.230774 290.769226 4512677 189.849258
2007-06-15 292 293.538452 292 293.230774 6188130 191.456497
2007-06-18 293.692322 293.692322 292 292.846161 3316742 191.205414
2007-06-19 291.923065 304.615387 291.615387 302.230774 10096840 197.332733
2007-06-20 303.461548 305.923065 299.692322 300.538452 7822178 196.227829
2007-06-21 299.615387 299.615387 296.153839 298.461548 5771350 196.278458
2007-06-22 297.769226 301.153839 294.153839 294.153839 8870433 193.445572
2007-06-25 294.846161 296.923065 291.769226 293.923065 6400875 193.293762
2007-06-26 294.615387 294.769226 291.307678 292.461548 5801692 192.332642
2007-06-27 290.923065 293 289.538452 292.769226 5382260 192.534927
2007-06-28 293.461548 295.230774 290.615387 293.230774 4438486 192.838486
2007-06-29 294.076935 297.692322 292.307678 294.461548 5809999 193.647964
2007-07-02 295.538452 296.461548 292.461548 294.307678 3852953 193.546768
2007-07-03 295.076935 298.384613 295.076935 297.692322 2839213 195.772614
2007-07-05 296.769226 297.461548 295.153839 296.461548 3375567 194.963211
2007-07-06 296 296.923065 295.153839 296 3876158 194.659653
2007-07-09 296.615387 297.538452 295.153839 297.076935 3987490 195.36792
2007-07-10 295.769226 296.076935 291.461548 291.538452 5129020 191.725601
2007-07-11 290.769226 294.153839 290.230774 293.846161 4327362 193.243164
2007-07-12 295.692322 300 293.846161 300 5854992 197.290253
2007-07-13 304.846161 309 303.846161 303.846161 9884784 199.819519
2007-07-16 304.615387 309.230774 304.153839 308.615387 5254795 202.955917
2007-07-17 307.769226 315 307.692322 313.153839 7549204 205.940598
