Date Open High Low Close Volume Adjusted
2007-01-03 66.129997 67.099998 66.110001 66.400002 12845300 43.058899
2007-01-04 65.900002 67.620003 65.900002 67.230003 11262000 43.597134
2007-01-05 66.800003 67.25 66.5 66.620003 8141100 43.201572
2007-01-08 66.510002 66.75 66.050003 66.510002 6180400 43.130245
2007-01-09 66.599998 66.849998 66.129997 66.260002 7147100 42.968105
2007-01-10 66.559998 66.559998 66.07 66.150002 6528700 42.896793
2007-01-11 66.400002 66.839996 66.279999 66.730003 6371500 43.272903
2007-01-12 66.449997 66.800003 66.300003 66.639999 6189400 43.21455
2007-01-16 66.650002 66.75 66.300003 66.540001 7963700 43.149693
2007-01-17 66.599998 67.379997 66.419998 66.870003 9189900 43.363705
2007-01-18 66.459999 67.989998 66.300003 67.709999 10695600 43.908409
2007-01-19 68 68.220001 67.529999 67.760002 13473300 43.94083
2007-01-22 68 68.110001 67.169998 67.18 10245500 43.564713
2007-01-23 66.989998 67.239998 66.129997 66.5 9698300 43.123737
2007-01-24 66.410004 67.089996 66.300003 67.010002 7665500 43.454468
2007-01-25 66.809998 67.040001 66.5 66.68 7727900 43.240467
2007-01-26 66.68 66.870003 65.989998 66.07 10773000 42.844898
2007-01-29 66.25 66.400002 66 66.150002 8152700 42.896793
2007-01-30 66.150002 66.599998 66.099998 66.389999 7171900 43.052402
2007-01-31 66.389999 67.019997 66.150002 66.800003 8171600 43.318287
2007-02-01 66.800003 67.07 66.5 67.010002 9232500 43.454468
2007-02-02 67 67.150002 66.489998 66.580002 11317500 43.17561
2007-02-05 66.379997 66.599998 66.099998 66.300003 7526200 42.994049
2007-02-06 66.389999 66.43 65.790001 66 8180100 42.799507
2007-02-07 66 66.099998 65.650002 65.800003 7795300 42.669819
2007-02-08 65.760002 65.970001 65.599998 65.760002 7340100 42.643879
2007-02-09 65.860001 66.099998 65.529999 65.599998 7107600 42.540123
2007-02-12 65.720001 65.870003 65.360001 65.459999 6067300 42.449318
2007-02-13 65.410004 65.519997 65.279999 65.379997 8583600 42.397446
2007-02-14 65.559998 65.900002 65.400002 65.849998 7254900 42.702225
2007-02-15 65.75 65.93 65.589996 65.790001 7350800 42.66333
2007-02-16 65.650002 65.739998 65.239998 65.510002 12927000 42.481758
2007-02-20 65.400002 65.830002 65.260002 65.459999 9384300 42.449318
2007-02-21 65.260002 65.400002 64.959999 65 12036200 42.151035
2007-02-22 64.970001 65.07 64.650002 64.779999 12930900 42.008358
2007-02-23 64.610001 64.610001 63.990002 64.150002 11586300 41.842049
2007-02-26 64.25 64.489998 64.010002 64.300003 10483200 41.93988
2007-02-27 64 64.239998 62.720001 63.049999 18581000 41.124561
2007-02-28 63.27 63.720001 62.82 62.93 16690600 41.046295
2007-03-01 62.349998 62.93 61.75 62.450001 14589700 40.733215
2007-03-02 62.299999 62.450001 61.73 61.950001 13773000 40.407078
2007-03-05 61.450001 62.349998 61.450001 61.830002 16009400 40.328819
2007-03-06 62.150002 62.220001 61.369999 61.700001 19244300 40.244026
2007-03-07 61.650002 62.529999 61.59 61.860001 14139300 40.348373
2007-03-08 62 62.25 61.650002 61.720001 14670100 40.257072
2007-03-09 62.18 62.310001 61.939999 62.139999 10011500 40.53101
2007-03-12 62.25 62.349998 61.41 61.790001 13310200 40.302719
2007-03-13 61.400002 61.73 60.610001 60.77 17202700 39.637413
2007-03-14 60.990002 61.150002 60.110001 60.709999 16217000 39.598289
2007-03-15 60.700001 60.810001 60.349998 60.529999 10109800 39.480881
2007-03-16 60.57 60.880001 60.25 60.509998 15553900 39.467834
2007-03-19 60.650002 60.799999 60.369999 60.73 10425200 39.611324
2007-03-20 60.66 61.34 60.650002 61.07 9871300 39.833088
2007-03-21 61.07 61.32 60.48 61.220001 16305000 39.93095
2007-03-22 61.220001 61.48 60.790001 60.860001 12725500 39.696129
2007-03-23 61.25 61.25 60.349998 60.509998 17676100 39.467834
2007-03-26 60.799999 60.799999 59.869999 60.25 17385900 39.298252
2007-03-27 60.099998 60.209999 59.98 60.029999 12691000 39.154762
2007-03-28 60 60.400002 59.869999 60 16111500 39.135178
2007-03-29 60.380001 60.48 60.02 60.34 16849900 39.356949
2007-03-30 60.43 60.450001 59.950001 60.259998 13275100 39.304783
2007-04-02 60.259998 60.400002 60.029999 60.099998 9734200 39.200413
2007-04-03 60.549999 60.869999 60.25 60.639999 12055300 39.552631
2007-04-04 60.709999 61.349998 60.549999 61.290001 12983300 39.976601
2007-04-05 61.34 61.900002 61.23 61.549999 9694800 40.146172
2007-04-09 61.599998 61.75 61.369999 61.630001 5829600 40.198364
2007-04-10 61.540001 61.869999 61.459999 61.669998 9137600 40.224457
2007-04-11 61.52 62.290001 61.5 61.889999 14688400 40.367931
2007-04-12 61.549999 61.950001 61.5 61.919998 9342600 40.38752
2007-04-13 62.150002 62.380001 61.889999 62.349998 14546100 40.667988
2007-04-16 62.490002 63.02 62.41 63.02 13395100 41.104977
2007-04-17 65.300003 65.400002 64.43 64.550003 29072800 42.102943
2007-04-18 64.449997 64.769997 64.150002 64.43 11757000 42.02467
2007-04-19 64.940002 65.029999 64.300003 64.940002 12530900 42.357334
2007-04-20 65.449997 65.449997 64.870003 65.120003 15794600 42.474731
2007-04-23 65 65.120003 64.68 64.75 10862400 42.233398
2007-04-24 65.150002 65.150002 64.360001 64.489998 10367000 42.063816
2007-04-25 64.75 65.120003 64.5 64.68 12907800 42.187729
2007-04-26 64.489998 64.699997 64.150002 64.239998 10533100 41.900742
2007-04-27 64.010002 64.529999 63.849998 64.169998 9817600 41.855076
2007-04-30 64 64.370003 63.75 64.220001 13917900 41.887707
2007-05-01 64.529999 64.940002 64.260002 64.559998 10049100 42.109467
2007-05-02 64.010002 64.800003 64 64.480003 7976300 42.057278
2007-05-03 64.589996 64.800003 64.139999 64.32 8992000 41.952919
2007-05-04 64.559998 64.790001 64.160004 64.480003 6489200 42.057278
2007-05-07 63.990002 64.330002 63.59 64.260002 10864100 41.913792
2007-05-08 63.939999 64.089996 63.5 63.700001 10957500 41.548534
2007-05-09 63.639999 64.290001 63.310001 64.110001 13768500 41.81596
2007-05-10 64.010002 64.010002 62.470001 62.5 23573300 40.765816
2007-05-11 62.299999 63.029999 61.650002 62.27 23867100 40.615803
2007-05-14 63 63.459999 62.560001 62.610001 16788200 40.837574
2007-05-15 61.990002 62.400002 61.66 61.82 21866900 40.322292
2007-05-16 62.779999 63.369999 62.41 63.049999 17213000 41.124561
2007-05-17 63.099998 63.099998 62.529999 62.740002 12360000 40.922359
2007-05-18 62.98 63.630001 62.799999 63.419998 13378700 41.365898
2007-05-21 63.849998 64.029999 63.380001 63.52 10813300 41.431122
2007-05-22 63.549999 63.880001 63.299999 63.580002 8892500 41.470253
2007-05-23 63.77 64.099998 63.639999 63.810001 9822100 41.620281
2007-05-24 63.759998 64.080002 63.459999 63.48 11036400 41.676083
2007-05-25 63.580002 63.580002 63.09 63.189999 8493000 41.485687
2007-05-29 63.200001 63.360001 62.790001 63.049999 10059400 41.393776
2007-05-30 63.049999 63.360001 62.759998 63.220001 10866600 41.505383
2007-05-31 63 63.549999 62.970001 63.27 12154500 41.538208
2007-06-01 63.349998 63.77 63.02 63.41 10836900 41.630116
2007-06-04 63.049999 63.669998 63.009998 63.599998 10090400 41.754856
2007-06-05 63.400002 63.549999 63.02 63.310001 11391400 41.564472
2007-06-06 63.200001 63.43 62.549999 62.900002 11532300 41.2953
2007-06-07 62.639999 62.900002 61.990002 62 14245500 40.704426
2007-06-08 62.049999 62.349998 61.459999 62.130001 13943800 40.789776
2007-06-11 62.889999 62.889999 62.150002 62.27 9082200 40.881676
2007-06-12 62.25 62.41 61.759998 61.830002 11908200 40.592819
2007-06-13 61.91 62.259998 61.32 62.18 14814400 40.822598
2007-06-14 62.200001 62.610001 62.18 62.450001 9093400 40.999859
2007-06-15 62.59 63.119999 62.57 62.77 16817100 41.209949
2007-06-18 62.849998 62.900002 62.23 62.330002 8489300 40.921078
2007-06-19 62.34 62.669998 62.200001 62.419998 11399300 40.980156
2007-06-20 62.52 62.84 61.990002 62.040001 11311700 40.730694
2007-06-21 61.91 62.34 61.790001 62.110001 10370700 40.776638
2007-06-22 61.849998 61.98 60.73 60.73 22060300 39.870636
2007-06-25 61 61.509998 60.970001 61.110001 12967700 40.120106
2007-06-26 61.360001 61.959999 61.32 61.650002 13908200 40.474636
2007-06-27 61.150002 61.529999 61.07 61.450001 14158300 40.343342
2007-06-28 61.5 61.84 61.200001 61.5 9515800 40.376175
2007-06-29 61.580002 61.939999 61.209999 61.619999 12025100 40.454945
2007-07-02 61.939999 62 61.380001 61.849998 8090400 40.605953
2007-07-03 62 62.279999 61.880001 61.950001 4716100 40.671589
2007-07-05 62.099998 62.419998 61.869999 62.279999 8299700 40.888248
2007-07-06 62.099998 62.400002 62 62.130001 7558900 40.789776
2007-07-09 62.360001 63.330002 61.990002 62.720001 18794500 41.177128
2007-07-10 62.720001 62.849998 62.119999 62.200001 14338300 40.835735
2007-07-11 62.200001 62.990002 62.150002 62.860001 11145900 41.269035
2007-07-12 63.049999 63.41 62.619999 63.360001 11042400 41.597282
2007-07-13 63.470001 63.599998 63.009998 63.43 8999400 41.643253
2007-07-16 63.369999 63.880001 63.279999 63.799999 13368200 41.886173
2007-07-17 62.880001 63.52 62.279999 62.740002 27568400 41.19025
2007-07-18 62.509998 62.900002 62.02 62.200001 16892500 40.835735
2007-07-19 62.349998 62.700001 62.060001 62.389999 12653800 40.960487
2007-07-20 62.389999 62.5 61.720001 61.790001 13773900 40.566555
2007-07-23 61.889999 62.330002 61.849998 62 9439400 40.704426
2007-07-24 61.57 62.130001 61.419998 61.470001 10753800 40.356464
2007-07-25 61.48 61.990002 61.189999 61.529999 10622200 40.395851
2007-07-26 61.029999 61.52 60.75 60.959999 23319000 40.021641
2007-07-27 60.75 61.139999 59.720001 59.77 23503600 39.240379
2007-07-30 59.93 60.439999 59.77 60.07 13604100 39.437332
2007-07-31 61.349998 61.779999 60.5 60.5 21874200 39.719646
2007-08-01 60.509998 61.400002 60.450001 60.959999 17638800 40.021641
