Date Open High Low Close Volume Adjusted
2007-01-03 48 48.369999 47.59 48.07 14244700 33.158417
2007-01-04 48.049999 48.549999 47.75 48.189999 9471500 33.241196
2007-01-05 48.169998 48.25 47.630001 47.790001 10760500 32.965282
2007-01-08 47.57 48.060001 47.32 47.950001 8239200 33.075657
2007-01-09 47.900002 48.110001 47.360001 47.75 9276700 32.937695
2007-01-10 47.470001 48.119999 47.439999 48.099998 15597000 33.179123
2007-01-11 48 48.419998 47.939999 48.310001 8049200 33.323978
2007-01-12 48.099998 48.259998 47.900002 47.990002 10646700 33.103237
2007-01-16 48.16 48.459999 48.099998 48.389999 8696500 33.37915
2007-01-17 48.650002 48.889999 48.119999 48.43 16291400 33.406746
2007-01-18 48.049999 48.580002 47.919998 48.150002 12654200 33.213619
2007-01-19 48.299999 48.830002 48.139999 48.759998 14649200 33.634373
2007-01-22 48.869999 49.860001 48.700001 49.66 18325500 34.255203
2007-01-23 49.57 49.860001 49.279999 49.830002 12845300 34.372459
2007-01-24 49.68 50.400002 49.509998 50.360001 13857500 34.738045
2007-01-25 50.240002 50.68 49.93 50.209999 14855900 34.634586
2007-01-26 50 50.25 49.5 49.700001 13990300 34.282799
2007-01-29 49.57 49.650002 49.110001 49.470001 12085000 34.124123
2007-01-30 49.700001 50.25 49.369999 50.18 12325700 34.613892
2007-01-31 50.07 51.16 49.849998 50.93 18460500 35.131237
2007-02-01 50.959999 51.240002 50.860001 51.209999 13420400 35.324375
2007-02-02 51.220001 51.330002 50.73 50.93 15443400 35.131237
2007-02-05 50.810001 51.150002 50.540001 50.959999 8079900 35.151924
2007-02-06 50.849998 51.32 50.759998 51 9849200 35.179523
2007-02-07 50.84 51.220001 50.799999 51.209999 7537400 35.324375
2007-02-08 51.060001 51.060001 50.52 50.93 10312300 35.131237
2007-02-09 51.02 51.189999 50.080002 50.419998 9489000 34.779434
2007-02-12 50.59 50.650002 50.25 50.439999 7889000 34.793232
2007-02-13 50.349998 51.02 50.330002 50.950001 8374100 35.145031
2007-02-14 51.09 51.549999 51 51.419998 10745900 35.469219
2007-02-15 51.049999 51.470001 50.889999 51.209999 13339600 35.324375
2007-02-16 51.16 51.349998 51.009998 51.25 11291900 35.351971
2007-02-20 51.150002 51.75 51.119999 51.630001 9171500 35.614094
2007-02-21 51.450001 51.849998 51.27 51.650002 9337100 35.627888
2007-02-22 51.799999 51.950001 51.380001 51.639999 9111600 35.620998
2007-02-23 51.549999 51.75 50.720001 51.029999 10042600 35.200207
2007-02-26 51.169998 51.419998 50.43 50.810001 13342800 35.048447
2007-02-27 50.610001 50.610001 47.599998 49.220001 21228500 33.951672
2007-02-28 49.07 49.889999 48.889999 49.389999 19180400 34.068943
2007-03-01 48.98 49.439999 48.299999 49.200001 22648000 33.937881
2007-03-02 48.950001 49 48.110001 48.189999 16922400 33.241196
2007-03-05 47.599998 48.16 47.200001 47.540001 20199600 32.792828
2007-03-06 47.970001 48.68 47.43 48.52 17751900 33.468822
2007-03-07 48.689999 48.869999 48.259998 48.360001 13664500 33.358456
2007-03-08 48.790001 49.349998 48.619999 48.740002 11979500 33.620583
2007-03-09 49.119999 49.349998 48.529999 48.82 9452900 33.675762
2007-03-12 48.639999 48.98 48.599998 48.84 10445700 33.689556
2007-03-13 48.450001 48.5 46.560001 46.700001 25294400 32.213387
2007-03-14 46.720001 47.549999 45.91 47.299999 25043400 32.627274
2007-03-15 47.139999 48.189999 47.139999 47.700001 15828300 32.903198
2007-03-16 47.619999 47.830002 46.98 47.029999 24746900 32.441029
2007-03-19 47.200001 47.799999 47.16 47.580002 14448200 32.820404
2007-03-20 47.509998 47.880001 47.330002 47.75 14507400 32.937695
2007-03-21 47.810001 49.650002 47.810001 49.049999 20747600 33.834419
2007-03-22 49.060001 49.099998 48.360001 48.470001 18906700 33.434338
2007-03-23 48.59 48.889999 48.43 48.52 11748200 33.468822
2007-03-26 48.549999 48.779999 47.939999 48.700001 11851000 33.592995
2007-03-27 48.59 48.82 48.349998 48.57 11183500 33.503315
2007-03-28 48.290001 48.48 47.790001 47.990002 13176700 33.103237
2007-03-29 48.240002 48.639999 48.02 48.5 10837100 33.455036
2007-03-30 48.610001 49.02 47.950001 48.380001 12674800 33.372253
2007-04-02 48.380001 48.490002 47.700001 48.240002 13834500 33.2757
2007-04-03 48.25 48.59 48.09 48.560001 13572200 33.73418
2007-04-04 48.560001 48.709999 48.27 48.560001 9163600 33.73418
2007-04-05 48.349998 48.889999 48.34 48.77 7991000 33.880062
2007-04-09 48.779999 49.130001 48.66 49 7509000 34.039837
2007-04-10 49.009998 49.34 48.98 49.240002 8200100 34.20657
2007-04-11 49.099998 49.34 48.98 49.150002 11971300 34.144058
2007-04-12 49.52 49.52 48.73 49.200001 9472400 34.178776
2007-04-13 49.450001 49.450001 48.66 49.09 11266300 34.102364
2007-04-16 49.470001 50.25 49.32 49.970001 15765000 34.713688
2007-04-17 49.970001 50.419998 49.709999 50.18 12238500 34.859577
2007-04-18 51.57 52.669998 51.43 52.07 39198500 36.172554
2007-04-19 52.029999 52.23 51.349998 52.09 20708700 36.186451
2007-04-20 52.650002 52.709999 52.099998 52.540001 21166800 36.499046
2007-04-23 52.349998 52.700001 52.049999 52.279999 12675600 36.318428
2007-04-24 52.060001 52.279999 51.650002 52.16 10315700 36.235062
2007-04-25 52.240002 52.939999 52.18 52.82 18088100 36.69355
2007-04-26 52.77 53 52.560001 52.939999 14440500 36.776924
2007-04-27 52.77 52.799999 52.139999 52.549999 14428600 36.505997
2007-04-30 52.459999 53.060001 51.990002 52.099998 29900000 36.19339
2007-05-01 52.400002 52.5 51.599998 52.259998 13859000 36.304531
2007-05-02 52 52.77 52 52.549999 12968600 36.505997
2007-05-03 52.830002 52.919998 52.369999 52.700001 9700300 36.61021
2007-05-04 52.799999 53.049999 52.59 52.630001 11974600 36.561577
2007-05-07 52.810001 52.950001 52.549999 52.73 7375400 36.631039
2007-05-08 52.48 52.650002 52.23 52.450001 9028200 36.43652
2007-05-09 52.549999 53.25 52.43 53.200001 12561700 36.957539
2007-05-10 52.790001 53.029999 51.950001 52 13478400 36.123917
2007-05-11 52.119999 52.380001 51.720001 52.150002 12419400 36.228138
2007-05-14 52 52.16 51.549999 51.830002 9328300 36.005829
2007-05-15 52.09 52.709999 52 52.029999 11105000 36.144756
2007-05-16 52.369999 53.07 52.200001 52.98 12924700 36.804718
2007-05-17 52.779999 53 52.5 52.560001 9049900 36.512947
2007-05-18 52.619999 52.93 52.450001 52.540001 11115100 36.499046
2007-05-21 52.380001 52.810001 52.310001 52.560001 10408300 36.512947
2007-05-22 52.560001 52.68 52.09 52.290001 9665800 36.325382
2007-05-23 52.330002 52.639999 51.93 51.990002 11246900 36.116962
2007-05-24 52 52.240002 51.450001 51.59 13105800 35.839085
2007-05-25 51.529999 51.849998 51.259998 51.639999 10761300 35.87384
2007-05-29 51.650002 51.919998 51.450001 51.82 9552300 35.998863
2007-05-30 51.43 52.060001 51.349998 52.060001 10243400 36.165604
2007-05-31 52.25 52.310001 51.669998 51.830002 10976300 36.005829
2007-06-01 51.919998 52.080002 51.66 51.900002 12104800 36.054447
2007-06-04 51.560001 51.799999 51.540001 51.57 11095500 35.825203
2007-06-05 51.240002 51.490002 51.189999 51.220001 13615700 35.582054
2007-06-06 51.23 51.23 50.259998 50.560001 13877400 35.123569
2007-06-07 50.299999 50.650002 49.740002 49.82 17409400 34.609489
2007-06-08 49.830002 50.48 49.540001 50.41 13508100 35.019363
2007-06-11 50.41 50.84 50.029999 50.43 11252000 35.033241
2007-06-12 50.220001 50.400002 49.34 49.349998 15388300 34.282986
2007-06-13 49.630001 50.389999 49.52 50.290001 14507600 34.935989
2007-06-14 49.93 50.830002 49.93 50.32 12440700 34.956837
2007-06-15 50.639999 50.990002 50.419998 50.560001 18351900 35.123569
2007-06-18 50.830002 50.849998 50.330002 50.43 9290300 35.033241
2007-06-19 50.439999 50.880001 50.290001 50.849998 12251900 35.325016
2007-06-20 50.91 50.990002 49.419998 49.459999 14920700 34.359402
2007-06-21 49.689999 49.880001 48.68 49.84 19429500 34.623375
2007-06-22 49.560001 49.75 48.580002 48.720001 25110400 33.845325
2007-06-25 48.720001 49.209999 48.060001 48.360001 17240200 33.595242
2007-06-26 48.450001 49.049999 48.299999 48.599998 18963800 33.761978
2007-06-27 48.259998 49.299999 48.080002 49.240002 16354200 34.20657
2007-06-28 49.25 49.48 48.560001 48.959999 14430900 34.012054
2007-06-29 49.23 49.299999 48.099998 48.450001 21764700 33.657764
2007-07-02 48.900002 49.25 48.57 49.150002 15717900 34.144058
2007-07-03 49.189999 49.580002 49.040001 49.34 7444000 34.543098
2007-07-05 49.099998 49.349998 48.650002 48.790001 11613000 34.158051
2007-07-06 48.619999 49.16 48.450001 48.970001 10792400 34.284065
2007-07-09 49.209999 49.279999 48.529999 48.790001 10577700 34.158051
2007-07-10 48.299999 48.57 47.459999 47.509998 21881800 33.261917
2007-07-11 47.52 48.439999 47.119999 48.130001 27232500 33.695992
2007-07-12 48.689999 49.630001 48.130001 49.529999 19172800 34.676132
2007-07-13 49.68 50.220001 49.27 50.049999 16393800 35.040173
2007-07-16 49.91 50.459999 49.73 49.830002 12263900 34.88615
2007-07-17 49.950001 50.48 49.830002 49.919998 18302200 34.949162
2007-07-18 48.810001 49.290001 47.830002 48.880001 35535600 34.221062
2007-07-19 49.5 49.689999 47.84 48.619999 26199400 34.039028
2007-07-20 48.810001 48.810001 47.380001 47.560001 30677800 33.296921
2007-07-23 47.75 47.869999 47.060001 47.150002 20520200 33.009872
2007-07-24 46.630001 46.950001 45.119999 45.34 35706200 31.742687
2007-07-25 45.669998 46.209999 44.290001 45.27 40175100 31.693678
2007-07-26 44.299999 44.549999 43.5 44.080002 51202000 30.860558
2007-07-27 44.09 45.240002 43.700001 44.23 40020600 30.965578
2007-07-30 44.75 45.139999 43.610001 44.75 32316300 31.329636
2007-07-31 45.07 45.970001 43.939999 44.009998 34080900 30.811554
2007-08-01 43.700001 44.439999 43.200001 44.380001 44504500 31.070585
2007-08-02 44.41 44.759998 44 44.59 28297400 31.217606
2007-08-03 44.599998 44.950001 43.389999 43.650002 36628500 30.559517
2007-08-06 43.759998 45.110001 43.279999 45.110001 34200000 31.581669
2007-08-07 44.990002 46.049999 44.150002 45.34 30556500 31.742687
2007-08-08 45.75 47.23 45.27 46.509998 27447200 32.561813
2007-08-09 45.040001 45.939999 44.169998 44.169998 39278200 30.923576
2007-08-10 43.360001 44.799999 42.509998 44.25 32549000 30.979584
2007-08-13 45.23 45.43 43.68 43.830002 21357600 30.685545
2007-08-14 43.939999 44.02 43.130001 43.299999 25217200 30.314487
2007-08-15 43.130001 44.419998 42.810001 43 27726700 30.104448
2007-08-16 42.75 45.900002 42.16 45.470001 51414800 31.833708
2007-08-17 48.080002 48.290001 46.150002 47.009998 57869900 32.911869
2007-08-20 47.169998 47.509998 45.07 46.490002 32691300 32.547825
2007-08-21 46.119999 47.080002 45.75 46.200001 23582300 32.344788
2007-08-22 46.669998 46.830002 45.029999 46 30844900 32.204769
2007-08-23 46.450001 46.580002 45.150002 45.669998 21476600 31.973738
2007-08-24 45.5 46 45.029999 45.950001 13248000 32.169758
2007-08-27 45.75 45.900002 44.889999 44.91 13527200 31.441656
2007-08-28 44.48 44.48 43.459999 43.599998 23516300 30.524506
2007-08-29 43.880001 44.23 43.150002 44.130001 21605200 30.895565
2007-08-30 43.639999 44.360001 43.34 43.970001 15581500 30.783548
2007-08-31 45 45.130001 44.27 44.52 16937800 31.168608
2007-09-04 44.400002 45.619999 44.259998 45.299999 15416800 31.714701
2007-09-05 44.830002 44.970001 44.07 44.169998 15556800 30.923576
2007-09-06 44.240002 44.549999 43.830002 44.209999 18994400 30.951569
2007-09-07 43.27 43.990002 43.200001 43.52 21526200 30.468502
2007-09-10 43.75 44.450001 43.349998 43.93 17181500 30.755552
2007-09-11 43.959999 44.84 43.669998 44.540001 15148000 31.1826
2007-09-12 44.5 44.740002 44.150002 44.470001 13896800 31.1336
2007-09-13 44.419998 45.779999 44.380001 45.599998 20262100 31.924717
2007-09-14 45.23 45.639999 45.009998 45.540001 12482300 31.882702
2007-09-17 45.389999 45.630001 44.889999 45.290001 17958300 31.707684
2007-09-18 45.68 47.860001 45.119999 47.82 27267800 33.478966
2007-09-19 47.970001 48.060001 47.169998 47.57 31807800 33.303928
2007-09-20 47.619999 47.75 46.73 46.959999 19553500 32.876862
2007-09-21 47.5 47.540001 46.630001 47.130001 20535000 32.99588
2007-09-24 47.200001 47.200001 46.169998 46.34 17346800 32.442802
2007-09-25 46.25 46.25 45.650002 46.099998 16405200 32.274761
2007-09-26 46.259998 46.689999 45.740002 46.130001 17485400 32.295769
2007-09-27 46.200001 46.279999 45.68 46.209999 12840300 32.351776
2007-09-28 46.049999 46.209999 45.580002 45.82 15587900 32.078735
2007-10-01 45.470001 47.040001 45.419998 46.810001 17276200 32.771835
2007-10-02 46.990002 47.349998 46.82 47.16 16003200 33.01688
2007-10-03 46.709999 47.459999 46.650002 47 12675700 33.17215
2007-10-04 47.200001 47.43 46.98 47.25 11132400 33.348598
2007-10-05 47.450001 47.880001 47.279999 47.580002 13435600 33.581509
2007-10-08 47.310001 47.580002 47.049999 47.439999 8305500 33.482708
2007-10-09 47.59 47.700001 46.990002 47.57 12967500 33.574459
2007-10-10 47.470001 47.470001 46.549999 46.91 18858500 33.108627
2007-10-11 47.009998 47.619999 46.529999 46.66 27920400 32.932175
2007-10-12 46.669998 47.099998 46.540001 46.82 12507000 33.045116
2007-10-15 46.77 46.82 45.790001 46.27 16575300 32.656925
2007-10-16 46 46.400002 44.599998 45.110001 22510200 31.838211
2007-10-17 47.040001 47.119999 45.75 46.369999 34659600 32.727509
2007-10-18 46.099998 46.130001 45.450001 45.900002 19397900 32.395779
2007-10-19 45.790001 46.599998 44.959999 45.02 29500400 31.774687
2007-10-22 44.900002 45.93 44.66 45.369999 18094100 32.021729
2007-10-23 45.919998 45.990002 45.130001 45.939999 13519100 32.424
2007-10-24 45.73 46.439999 44.740002 46.27 27352800 32.656925
2007-10-25 46.099998 46.549999 45.150002 46.049999 20076400 32.501656
2007-10-26 46.959999 47.450001 45.93 47.32 18851700 33.398014
2007-10-29 47.389999 47.5 46.509998 46.669998 18861900 32.93922
2007-10-30 46.400002 46.889999 46.049999 46.560001 13131400 32.861603
2007-10-31 46.950001 47.549999 46.040001 47 23899100 33.17215
2007-11-01 45.650002 46.32 44.200001 44.32 31730100 31.28064
2007-11-02 44.450001 44.48 42.060001 43.150002 39570300 30.454857
2007-11-05 42.689999 43.200001 41.669998 42.77 28852800 30.186665
2007-11-06 42.689999 44.34 42.689999 44.110001 28756400 31.132416
2007-11-07 42.93 43.810001 42.150002 42.240002 28980700 29.812576
