Date Open High Low Close Volume Adjusted
2015-07-06 71 74.290001 71 72.959999 3809700 56.247318
2015-07-07 73.730003 74.709999 72.959999 74.629997 5794300 57.534786
2015-07-08 74.300003 75.5 74.040001 75.400002 4276600 58.128391
2015-07-09 76.470001 77.066002 74.5 74.800003 4267100 57.665844
2015-07-10 75.050003 77.800003 75 77.309998 4983000 59.600887
2015-07-13 79.5 79.699997 77.910004 78.830002 9078900 60.772697
2015-07-14 79.449997 79.5 77.650002 78 18746100 60.132828
2015-07-15 77.650002 78.169998 76.400002 76.709999 6330500 59.138329
2015-07-16 76.970001 78.839996 76.949997 78.75 5634100 60.711025
2015-07-17 79.43 79.690002 77.260002 79.629997 6100900 61.389462
2015-07-20 79.949997 81.199997 79.129997 80.110001 10284500 61.759502
2015-07-21 79.970001 80.68 79.400002 80.220001 6088600 61.844311
2015-07-22 80.830002 80.900002 78.580002 78.639999 5201200 60.626236
2015-07-23 78.419998 78.57 76.639999 76.739998 2975400 59.578133
2015-07-24 76.919998 77.43 75.949997 76.410004 3116000 59.321934
2015-07-27 76.629997 77.980003 76.290001 77.379997 5774300 60.075001
2015-07-28 78.440002 78.650002 77.5 78.32 1895900 60.80479
2015-07-29 78.260002 78.300003 77 77.910004 2278600 60.486488
2015-07-30 78.209999 79.690002 77.599998 79.209999 3247000 61.495758
2015-07-31 79.940002 79.940002 78.864998 79.470001 2685500 61.697594
2015-08-03 80 81.029999 79.910004 80.370003 2681800 62.396347
2015-08-04 80.57 81 79.669998 79.809998 2429600 61.961559
2015-08-05 80.010002 81 79.849998 80.480003 4324300 62.481735
2015-08-06 81.050003 81.190002 79.510002 79.760002 3708600 61.922749
2015-08-07 79.139999 79.379997 77.290001 78.459999 3274100 60.913471
2015-08-10 79.43 79.800003 78.57 78.809998 3252300 61.185192
2015-08-11 77.629997 80.480003 77.07 77.970001 3889100 60.533077
2015-08-12 77.830002 78.309998 76.089996 76.690002 3688800 59.539314
2015-08-13 77.010002 77.07 75.800003 75.989998 2917500 58.995857
2015-08-14 76.07 76.739998 75.116997 76.419998 2572800 59.329681
2015-08-17 75.860001 76.410004 75.510002 75.800003 2260300 58.848366
2015-08-18 75.720001 75.953003 75.059998 75.190002 2009700 58.374767
2015-08-19 75 75.290001 73.919998 74.779999 3025700 58.056469
2015-08-20 74.019997 74.764 73.779999 74.25 2207000 57.644993
2015-08-21 73.309998 74.25 72.260002 72.269997 5564500 56.107784
2015-08-24 68.239998 72.239998 61.419998 70.870003 9844600 55.020874
2015-08-25 71.540001 72.400002 70 70.209999 4423400 54.508488
2015-08-26 71.720001 74.110001 69.529999 73.910004 5356300 57.381016
2015-08-27 73.169998 75.25 73.120003 75.18 5937800 58.367004
2015-08-28 74.400002 75.190002 73.82 74.690002 2150100 57.986591
2015-08-31 74.209999 74.43 72.57 72.660004 2688400 56.410576
2015-09-01 71.230003 72.540001 69.639999 70.120003 4671400 54.438602
2015-09-02 70.839996 72.07 70.309998 72.07 2986500 55.952518
2015-09-03 72.559998 73.889999 71.790001 72.160004 2595300 56.022396
2015-09-04 71.139999 71.690002 70.128998 70.57 2997000 54.787968
2015-09-08 71.849998 74.330002 70.809998 74.07 4450700 57.505245
2015-09-09 74.449997 74.5 71.980003 72.169998 2936400 56.030148
2015-09-10 72.129997 73.050003 71.779999 72.160004 3619700 56.022396
2015-09-11 72.25 73.93 71.599998 73.760002 2146700 57.264565
2015-09-14 73.5 74.709999 72.555 74.550003 2927400 57.877888
2015-09-15 74.940002 75.519997 73.754997 75.389999 3393300 58.530045
2015-09-16 75.199997 76.709999 74.300003 76.370003 2302800 59.290882
2015-09-17 76.580002 77.760002 76 76.43 3142600 59.337452
2015-09-18 75.550003 76.5 75.010002 75.440002 7231700 58.568871
2015-09-21 75.690002 76.190002 74.959999 75.199997 3256300 58.38253
2015-09-22 74.150002 74.870003 73.660004 74.309998 2628700 57.691574
2015-09-23 74.169998 74.598 73.254997 73.309998 3713200 56.915211
2015-09-24 73 73.139999 71.699997 72.919998 4416100 56.612419
2015-09-25 73.800003 73.849998 72.779999 73.349998 3517000 56.94627
2015-09-28 72.809998 73.269997 69.989998 69.989998 5006600 54.337681
2015-09-29 70.160004 70.980003 68.650002 69.199997 3870900 53.72435
2015-09-30 69.669998 70.800003 69.459999 70.580002 3132800 54.795734
2015-10-01 71.269997 71.970001 69.769997 70.830002 2519700 54.989826
2015-10-02 70.190002 71.459999 69.370003 71.410004 2593100 55.440109
2015-10-05 72 73.25 71.349998 72.239998 6323500 56.084492
2015-10-06 72.290001 73.050003 71.889999 72.470001 2760200 56.263054
2015-10-07 72.739998 73.739998 72.480003 73.150002 2325200 56.790985
2015-10-08 73.160004 74.470001 72.739998 74.43 2239700 57.784737
2015-10-09 74.410004 75.220001 73.989998 74.389999 2938100 57.753685
2015-10-12 74.410004 74.410004 73.309998 73.720001 2081100 57.233513
2015-10-13 73.610001 73.93 73.18 73.379997 2147500 56.969532
2015-10-14 73.120003 74.300003 73 73.769997 1956800 57.272331
2015-10-15 74.150002 75.220001 73.921997 75.220001 2135700 58.39806
2015-10-16 75.68 78 74.870003 77.389999 3435200 60.08276
2015-10-19 76.889999 77.199997 76.290001 76.800003 1951900 59.624722
2015-10-20 76.199997 77.160004 76.110001 76.870003 1922100 59.679062
2015-10-21 77 77.739998 76.629997 77.050003 2370100 59.818806
2015-10-22 77.220001 79.940002 77.220001 79.940002 3951700 62.062485
2015-10-23 79.150002 79.889999 77.43 77.980003 3179000 60.540825
2015-10-26 78.18 78.18 76.480003 76.809998 2563800 59.632465
2015-10-27 76.209999 77.480003 76.209999 77.169998 2435200 59.911961
2015-10-28 77.150002 79.199997 76.339996 79.18 2382000 61.472454
2015-10-29 78.839996 78.997002 77.848999 78.650002 1788500 61.060982
2015-10-30 78.370003 78.989998 77.860001 77.970001 2053000 60.533077
2015-11-02 78.43 78.93 77.720001 78.269997 1536500 60.765961
2015-11-03 77.830002 78 75.879997 76.43 4489800 59.337452
2015-11-04 76.32 76.667999 75.239998 75.82 2630400 58.863884
2015-11-05 76.199997 76.499001 74.75 75.419998 3347200 58.553322
2015-11-06 73.75 74.5 71.580002 72.010002 8819900 55.905941
2015-11-09 72 72.68 70.849998 71.239998 4231000 55.308132
2015-11-10 71.75 72.220001 71.151001 72.080002 3470400 55.960278
2015-11-11 72.699997 72.860001 71.360001 72.110001 3537300 55.98357
2015-11-12 71.18 71.377998 70.25 70.900002 3931500 55.486618
2015-11-13 70.620003 71.709999 70.580002 70.769997 3008000 55.384884
2015-11-16 71.019997 72.110001 70.940002 71.654999 2398400 56.07748
2015-11-17 72.099998 72.129997 70.639999 71.449997 4247400 55.917049
2015-11-18 71.839996 73.035004 71.169998 72.584999 3780200 56.805294
2015-11-19 73.25 73.730003 72.339996 73.339996 2828700 57.396168
2015-11-20 74.169998 75.57 73.400002 73.650002 4003200 57.638775
2015-11-23 74.029999 74.540001 73.894997 74.07 2706000 57.96748
2015-11-24 73.730003 74.510002 73.68 74.470001 2863900 58.280514
2015-11-25 74.449997 74.919998 73.849998 74.639999 2384100 58.413548
2015-11-27 74.57 75 74.220001 74.610001 777300 58.390079
2015-11-30 74.519997 74.860001 73.5 73.690002 4200100 57.670086
2015-12-01 74.230003 75 73.800003 74.470001 3749300 58.280514
2015-12-02 74.209999 74.620003 72.919998 73.040001 2568600 57.161373
2015-12-03 73.300003 73.68 71.089996 71.459999 3019000 55.924873
2015-12-04 71.400002 72.730003 71.07 72.220001 4495900 56.519653
2015-12-07 71.919998 72.205002 70.849998 71.43 3323600 55.901394
2015-12-08 71 71.654999 70.587997 71.529999 4519800 55.979656
2015-12-09 71.160004 72.169998 70.5 70.900002 3940800 55.486618
2015-12-10 70.830002 71.334999 70.510002 70.839996 2733700 55.439651
2015-12-11 70.089996 70.690002 69.389999 69.690002 3756000 54.539673
2015-12-14 70.07 71.080002 69.769997 70.974998 3881600 55.5453
2015-12-15 71.730003 72.75 71.650002 72.010002 4168700 56.355309
2015-12-16 72.610001 73.199997 71.889999 73.010002 2176900 57.137901
2015-12-17 72.949997 73.300003 71.900002 71.919998 2402700 56.284863
2015-12-18 71.419998 71.940002 70.629997 70.669998 6568300 55.306614
2015-12-21 70.519997 71.660004 70.370003 71.379997 5466900 56.320515
2015-12-22 71.639999 73.190002 71.315002 72.93 5053300 57.543495
2015-12-23 73.300003 74.779999 72.989998 74.510002 4193400 58.790176
2015-12-24 74.809998 74.809998 73.879997 73.959999 1962500 58.356194
2015-12-28 73.709999 73.783997 72.889999 73.419998 5421800 57.930119
2015-12-29 73.650002 74.860001 73.400002 74.690002 4350900 58.93219
2015-12-30 74.650002 74.959999 73.709999 73.75 1779900 58.190491
2015-12-31 73.370003 73.5 72.629997 72.760002 1857100 57.409351
2016-01-04 71.379997 72.849998 71.349998 72.699997 5209400 57.362015
2016-01-05 72.739998 73.580002 72.279999 73.389999 3858200 57.90646
2016-01-06 72.199997 73.68 72.029999 73.529999 3294700 58.016914
2016-01-07 72.010002 72.989998 71.849998 71.900002 4050300 56.730808
2016-01-08 72.190002 72.470001 71.099998 71.18 3092100 56.162697
2016-01-11 71.349998 72.529999 70.769997 72.269997 3329000 57.022739
2016-01-12 72.849998 73.349998 72.132004 73.230003 2924600 57.780197
2016-01-13 73.190002 73.440002 70.639999 70.809998 3448500 55.870766
2016-01-14 70.959999 71.528 70.304001 70.739998 4610600 55.81554
2016-01-15 68.900002 70.150002 68.18 69.199997 6551200 54.600433
2016-01-19 70.010002 70.519997 69.550003 70.169998 5107100 55.365788
2016-01-20 69.279999 71.580002 68.739998 71.169998 4607000 56.154819
2016-01-21 72 73.330002 71.325996 73.050003 6208200 57.63818
2016-01-22 73.599998 74.5 72.510002 74.389999 3111700 58.695461
2016-01-25 73.699997 74.669998 73.339996 74.029999 4123100 58.411423
