Date Open High Low Close Volume Adjusted
2007-01-03 24.18 24.440001 24.139999 24.290001 15753400 15.556382
2007-01-04 24.209999 24.35 24.125 24.299999 11810400 15.562785
2007-01-05 24.25 24.285 24.084999 24.129999 11607000 15.45391
2007-01-08 24.004999 24.334999 24.004999 24.285 17551000 15.553174
2007-01-09 24.27 24.415001 24.23 24.305 13724000 15.565988
2007-01-10 24.245001 24.395 24.184999 24.34 8928000 15.588396
2007-01-11 24.375 24.434999 24.299999 24.370001 11009600 15.607615
2007-01-12 24.299999 24.334999 24.125 24.275 13667200 15.546774
2007-01-16 24.24 24.344999 24.17 24.25 12685200 15.530765
2007-01-17 24.264999 24.43 24.24 24.299999 14400200 15.562785
2007-01-18 24.209999 24.5 24.1 24.174999 15223000 15.482722
2007-01-19 24.205 24.215 24.035 24.129999 13008200 15.45391
2007-01-22 24.055 24.174999 23.995001 24.014999 12198800 15.38026
2007-01-23 24.075001 24.115 23.969999 24.059999 12149000 15.409076
2007-01-24 24.094999 24.1 23.969999 24.065001 8641600 15.41228
2007-01-25 24.035 24.110001 23.950001 23.969999 11596600 15.351437
2007-01-26 24 24.049999 23.9 23.915001 14459000 15.316217
2007-01-29 23.879999 23.959999 23.780001 23.855 10077800 15.27779
2007-01-30 23.915001 23.975 23.82 23.905001 8986000 15.309812
2007-01-31 23.9 23.985001 23.745001 23.940001 10604400 15.332222
2007-02-01 23.995001 24.135 23.924999 24.049999 10398600 15.402671
2007-02-02 24.049999 24.205 24.02 24.120001 10703600 15.447508
2007-02-05 24.055 24.120001 23.92 23.950001 9192800 15.338634
2007-02-06 24 24.08 23.93 24.025 11168800 15.386662
2007-02-07 24.014999 24.065001 23.93 24.014999 9242400 15.38026
2007-02-08 23.975 24.025 23.825001 23.93 9076600 15.32582
2007-02-09 23.860001 23.995001 23.82 23.879999 9828400 15.293795
2007-02-12 23.924999 24.184999 23.9 23.959999 13925400 15.345026
2007-02-13 24.049999 24.209999 24.045 24.105 19411800 15.437894
2007-02-14 24.25 24.275 23.865 23.940001 32846800 15.332222
2007-02-15 23.995001 24.049999 23.790001 23.924999 19195000 15.322614
2007-02-16 24 24.049999 23.879999 23.934999 17492200 15.329014
2007-02-20 23.76 23.940001 23.75 23.889999 17828800 15.300203
2007-02-21 23.775 23.889999 23.76 23.785 16489600 15.232959
2007-02-22 23.844999 23.870001 23.610001 23.65 16721000 15.146501
2007-02-23 23.834999 23.965 23.59 23.629999 29516200 15.133688
2007-02-26 23.85 23.950001 23.790001 23.860001 18709000 15.28099
2007-02-27 23.735001 23.92 22.780001 23.195 30318600 14.855087
2007-02-28 23.375 23.450001 23.16 23.34 27629200 14.94795
2007-03-01 23.209999 23.465 23.135 23.26 27342000 14.896726
2007-03-02 23.225 23.465 22.905001 22.945 34050600 14.694984
2007-03-05 22.950001 23.355 22.885 23.145 29572400 14.823078
2007-03-06 23.344999 23.530001 23.275 23.465 25097800 15.028013
2007-03-07 23.379999 23.5 23.33 23.375 26321800 14.970371
2007-03-08 23.450001 23.68 23.445 23.575001 17422400 15.098461
2007-03-09 23.615 23.834999 23.575001 23.785 26127200 15.232959
2007-03-12 23.785 23.995001 23.735001 23.975 26009000 15.354643
2007-03-13 23.674999 23.934999 23.48 23.530001 32198000 15.177266
2007-03-14 23.625 23.67 23.295 23.52 32553400 15.170812
2007-03-15 23.475 23.565001 23.34 23.540001 19059000 15.183711
2007-03-16 23.625 23.655001 23.41 23.605 28231600 15.225636
2007-03-19 23.67 23.75 23.52 23.665001 15513600 15.264336
2007-03-20 23.709999 23.875 23.620001 23.809999 14456000 15.357863
2007-03-21 23.85 24.174999 23.684999 24.129999 24361000 15.564273
2007-03-22 23.955 24.219999 23.955 24.125 16486800 15.561044
2007-03-23 24.065001 24.135 23.985001 24.025 16012200 15.496543
2007-03-26 23.975 24.094999 23.84 24.075001 14385200 15.528793
2007-03-27 24 24.084999 23.924999 24.01 13230600 15.486868
2007-03-28 23.895 24.15 23.795 23.955 22657800 15.451396
2007-03-29 23.805 24.200001 23.424999 24.055 18947800 15.515895
2007-03-30 24.129999 24.25 23.799999 24 17937600 15.480419
2007-04-02 24.1 24.33 24.025 24.26 22443400 15.648118
2007-04-03 24.264999 24.575001 24.264999 24.495001 19033200 15.799707
2007-04-04 24.504999 24.82 24.469999 24.73 22203000 15.951282
2007-04-05 24.67 24.885 24.65 24.76 17959200 15.970634
2007-04-09 24.799999 24.975 24.715 24.815001 14632800 16.006105
2007-04-10 24.889999 25.155001 24.825001 25.040001 26317400 16.151239
2007-04-11 25.040001 25.1 24.799999 24.82 24374000 16.009335
2007-04-12 24.825001 24.975 24.325001 24.834999 15512400 16.019003
2007-04-13 25.145 25.145 24.745001 24.940001 13829600 16.086733
2007-04-16 25.004999 25.219999 24.965 25.135 20130200 16.212513
2007-04-17 25.525 26.09 25.379999 25.785 50341600 16.631769
2007-04-18 25.795 25.870001 25.674999 25.83 22955600 16.660799
2007-04-19 25.68 25.950001 25.655001 25.875 18696200 16.689827
2007-04-20 26.025 26.075001 25.809999 26.045 21201000 16.799475
2007-04-23 26.045 26.1 25.795 25.825001 14465800 16.657572
2007-04-24 25.99 25.99 25.684999 25.855 16117400 16.676926
2007-04-25 25.995001 26.030001 25.745001 25.870001 21349800 16.686607
2007-04-26 25.995001 26.115 25.924999 26.040001 15173600 16.796251
2007-04-27 25.924999 26.059999 25.875 26.030001 13926200 16.789799
2007-04-30 25.959999 26.174999 25.924999 26.094999 23486000 16.831732
2007-05-01 26.094999 26.32 26.065001 26.315001 20552200 16.973633
2007-05-02 26.299999 26.465 26.25 26.355 17473000 16.999437
2007-05-03 26.4 26.5 26.295 26.455 16194400 17.06394
2007-05-04 26.5 26.66 26.475 26.605 18067000 17.160688
2007-05-07 26.605 26.825001 26.575001 26.805 14151800 17.289692
2007-05-08 26.68 26.76 26.459999 26.535 15197400 17.115534
2007-05-09 26.545 26.700001 26.424999 26.555 11234400 17.128439
2007-05-10 26.475 26.52 26.215 26.24 14908400 16.925261
2007-05-11 26.225 26.365 26.084999 26.344999 12985200 16.992985
2007-05-14 26.27 26.48 26.25 26.299999 13295800 16.963953
2007-05-15 26.15 26.395 26.08 26.23 31652800 16.918806
2007-05-16 26.25 26.395 26.065001 26.370001 16792200 17.009109
2007-05-17 26.49 26.495001 26.049999 26.1 18808400 16.834959
2007-05-18 26.18 26.325001 26.045 26.315001 25827200 16.973633
2007-05-21 26.315001 26.41 25.875 25.955 26409400 16.741425
2007-05-22 25.975 25.985001 25.709999 25.74 19057200 16.602747
2007-05-23 25.82 25.885 25.620001 25.665001 15167600 16.554375
2007-05-24 25.635 25.875 25.575001 25.620001 17765600 16.525343
2007-05-25 25.780001 26.09 25.745001 25.945 18502400 16.734978
2007-05-29 26.014999 26.174999 25.955 26.09 16716400 16.828508
2007-05-30 26.184999 26.525 25.959999 26.525 29334600 17.109081
2007-05-31 26.48 26.73 26.440001 26.495001 21255400 17.089735
2007-06-01 26.504999 26.565001 26.215 26.4 17018400 17.028463
2007-06-04 26.379999 26.4 26.105 26.334999 20438800 16.986536
2007-06-05 26.235001 26.325001 26.049999 26.16 19282600 16.873663
2007-06-06 26.125 26.16 25.92 26 11280800 16.770456
2007-06-07 25.995001 26.040001 25.629999 25.690001 18724600 16.570503
2007-06-08 25.625 25.860001 25.514999 25.834999 13315200 16.664026
2007-06-11 25.834999 25.924999 25.66 25.815001 21803400 16.651125
2007-06-12 25.67 25.885 25.530001 25.57 22790200 16.493093
2007-06-13 25.584999 25.75 25.530001 25.68 20020800 16.674911
2007-06-14 25.68 25.844999 25.535 25.655001 17990600 16.658678
2007-06-15 25.795 26.07 25.68 25.790001 26360400 16.746334
2007-06-18 25.790001 26.004999 25.764999 25.879999 11100800 16.804773
2007-06-19 25.790001 25.84 25.555 25.695 21341400 16.684645
2007-06-20 25.77 26.040001 25.66 25.745001 19981600 16.717115
2007-06-21 25.700001 26.075001 25.68 26.045 18870400 16.911915
2007-06-22 26.025 26.129999 25.719999 25.809999 30157400 16.759323
2007-06-25 25.834999 26.02 25.75 25.885 21450600 16.808027
2007-06-26 25.950001 26.17 25.809999 25.975 22278800 16.866465
2007-06-27 25.875 26.26 25.875 26.219999 18175600 17.025553
2007-06-28 26.16 26.459999 26.110001 26.315001 16126400 17.08724
2007-06-29 26.42 26.475 25.975 26.155001 19029200 16.983341
2007-07-02 26.325001 26.495001 26.16 26.280001 18294600 17.064514
2007-07-03 26.405001 26.49 26.25 26.450001 8382800 17.1749
2007-07-05 26.450001 26.5 26.24 26.334999 10865400 17.100227
2007-07-06 26.275 26.325001 26.15 26.299999 12349600 17.077501
2007-07-09 26.365 26.5 26.285 26.35 19237800 17.109961
2007-07-10 26.469999 26.469999 26.035 26.049999 14505200 16.915159
2007-07-11 26.004999 26.135 25.9 26.045 12185400 16.911915
2007-07-12 26.075001 26.325001 26.025 26.315001 23446200 17.08724
2007-07-13 26.315001 26.629999 26.245001 26.555 16634800 17.243074
2007-07-16 26.700001 27.245001 26.68 26.924999 33549400 17.483328
2007-07-17 27.165001 27.190001 26.405001 26.584999 33030000 17.26256
2007-07-18 26.655001 26.790001 26.535 26.715 28491200 17.346972
2007-07-19 26.950001 26.969999 26.715 26.85 14462400 17.434631
2007-07-20 26.870001 26.950001 26.545 26.605 22396600 17.275543
2007-07-23 26.665001 26.875 26.575001 26.82 14063800 17.415152
2007-07-24 26.485001 26.9 26.48 26.610001 18704400 17.278788
2007-07-25 26.735001 27.1 26.59 27.025 25611600 17.548265
2007-07-26 26.575001 27.110001 26.280001 26.49 29326200 17.200871
2007-07-27 26.459999 26.545 26.110001 26.139999 24074400 16.973606
2007-07-30 26.530001 26.924999 25.895 26.195 19912000 17.009319
2007-07-31 26.370001 26.434999 26.02 26.055 19887000 16.918413
2007-08-01 26.18 26.74 26.09 26.635 24743400 17.295027
2007-08-02 26.58 26.9 26.58 26.83 19595400 17.421648
2007-08-03 26.91 27.125 26.620001 26.639999 22044200 17.298269
2007-08-06 26.575001 27.125 26.575001 27.115 23334800 17.606709
