Date Open High Low Close Volume Adjusted
2021-01-08 0.95 0.95 0.85 0.9 11100 0.9
2021-01-11 0.95 0.95 0.82 0.86 39100 0.86
2021-01-12 0.81 0.9 0.81 0.9 15600 0.9
2021-01-13 0.86 1.05 0.86 0.93 51000 0.93
2021-01-14 1.05 1.05 0.93 0.95 151600 0.95
2021-01-15 0.95 1.2 0.95 1.1 609800 1.1
2021-01-19 1.15 1.15 1.05 1.08 234400 1.08
2021-01-20 1.05 1.2 1.01 1.2 22000 1.2
2021-01-21 1.2 1.21 1.16 1.2 40900 1.2
2021-01-22 1.2 1.2 1.01 1.05 54700 1.05
2021-01-25 1.3 1.3 1.04 1.04 116700 1.04
2021-01-26 1.2 1.3 1.02 1.21 61400 1.21
2021-01-27 1.1 1.19 1.06 1.06 23900 1.06
2021-01-28 1.07 1.08 1.06 1.06 13200 1.06
2021-01-29 1.02 1.06 0.99 1.02 55300 1.02
2021-02-01 1.01 1.02 1 1 30500 1
2021-02-02 1 1 0.85 0.96 216800 0.96
2021-02-03 0.97 1 0.96 1 32800 1
2021-02-04 1 1 0.981 0.981 33100 0.981
2021-02-05 0.996 0.996 0.89 0.9 87800 0.9
2021-02-08 0.99 1 0.9 0.9 53800 0.9
2021-02-09 0.87 1 0.85 0.9 296500 0.9
2021-02-10 0.87 0.91 0.85 0.91 616100 0.91
2021-02-11 0.87 0.97 0.87 0.9 1495500 0.9
2021-02-12 0.9 0.93 0.86 0.9 93600 0.9
2021-02-16 0.95 0.95 0.87 0.88 120100 0.88
2021-02-17 0.95 0.95 0.9 0.9 195200 0.9
2021-02-18 0.86 0.87 0.85 0.85 186700 0.85
2021-02-19 1 1 0.83 0.83 265100 0.83
2021-02-22 0.81 1.01 0.81 0.91 948800 0.91
2021-02-23 0.9 0.95 0.87 0.9 520000 0.9
2021-02-24 0.95 0.95 0.89 0.92 68800 0.92
2021-02-25 1.02 1.02 0.87 0.9 96700 0.9
2021-02-26 0.9 0.9 0.84 0.85 145000 0.85
2021-03-01 0.9 0.91 0.83 0.83 435300 0.83
2021-03-02 0.816 0.82 0.8 0.8 229300 0.8
2021-03-03 0.8 0.9 0.74 0.896 489500 0.896
2021-03-04 0.9 0.9 0.78 0.8 74000 0.8
2021-03-05 0.8 0.85 0.79 0.8 249400 0.8
2021-03-08 0.85 0.85 0.8 0.8 7600 0.8
2021-03-09 0.8 0.86 0.8 0.85 365600 0.85
2021-03-10 0.86 0.86 0.8 0.825 654900 0.825
2021-03-11 0.8 0.87 0.79 0.83 248100 0.83
2021-03-12 0.83 0.85 0.75 0.81 1180700 0.81
2021-03-15 0.76 0.82 0.76 0.81 5800 0.81
2021-03-16 0.85 0.85 0.85 0.85 7000 0.85
2021-03-17 0.85 0.85 0.75 0.82 440500 0.82
2021-03-18 0.84 0.84 0.84 0.84 400 0.84
2021-03-19 0.85 0.85 0.801 0.85 3500 0.85
2021-03-22 0.85 0.85 0.782 0.85 5600 0.85
2021-03-23 0.85 0.85 0.77 0.78 214000 0.78
2021-03-24 0.78 0.78 0.78 0.78 100 0.78
2021-03-25 0.79 0.79 0.78 0.78 700 0.78
2021-03-26 0.85 0.85 0.85 0.85 2000 0.85
2021-03-29 0.75 0.82 0.75 0.82 5200 0.82
2021-03-30 0.82 0.835 0.8 0.8 17900 0.8
2021-03-31 0.8 0.85 0.8 0.8 8000 0.8
2021-04-01 0.84 0.84 0.78 0.78 1100 0.78
2021-04-05 0.7 0.85 0.7 0.79 252900 0.79
2021-04-06 0.79 0.79 0.79 0.79 527300 0.79
2021-04-07 0.798 0.962 0.79 0.825 50200 0.825
2021-04-08 0.825 0.825 0.825 0.825 0 0.825
2021-04-09 0.825 0.825 0.825 0.825 0 0.825
2021-04-12 0.63 0.82 0.63 0.75 1123000 0.75
2021-04-13 0.85 0.85 0.71 0.74 387900 0.74
2021-04-14 0.74 0.75 0.71 0.73 222600 0.73
2021-04-15 0.85 0.85 0.675 0.675 268300 0.675
2021-04-16 0.68 0.7 0.68 0.7 191100 0.7
2021-04-19 0.7 0.7 0.68 0.68 8000 0.68
2021-04-20 0.66 0.8 0.66 0.671 160800 0.671
2021-04-21 0.703 0.71 0.685 0.685 31100 0.685
2021-04-22 0.685 0.69 0.68 0.68 53000 0.68
2021-04-23 0.68 0.68 0.68 0.68 39900 0.68
2021-04-26 0.7 0.7 0.65 0.65 214100 0.65
2021-04-27 0.65 0.65 0.55 0.55 655800 0.55
2021-04-28 0.56 0.56 0.48 0.48 980600 0.48
2021-04-29 0.48 0.55 0.45 0.45 487200 0.45
2021-04-30 0.46 0.46 0.41 0.45 209600 0.45
2021-05-03 0.46 0.48 0.45 0.45 706900 0.45
2021-05-04 0.46 0.46 0.42 0.46 559500 0.46
2021-05-05 0.46 0.46 0.46 0.46 82700 0.46
2021-05-06 0.46 0.46 0.45 0.45 165700 0.45
2021-05-07 0.45 0.45 0.42 0.42 69700 0.42
2021-05-10 0.425 0.45 0.425 0.45 67600 0.45
2021-05-11 0.43 0.47 0.43 0.46 142000 0.46
2021-05-12 0.445 0.5 0.425 0.425 72700 0.425
2021-05-13 0.5 0.55 0.45 0.45 34800 0.45
2021-05-14 0.5 0.5 0.47 0.49 93800 0.49
2021-05-17 0.43 0.47 0.43 0.43 24200 0.43
2021-05-18 0.43 0.5 0.4 0.465 54800 0.465
2021-05-19 0.471 0.471 0.47 0.47 9200 0.47
2021-05-20 0.471 0.471 0.47 0.47 3400 0.47
2021-05-21 0.45 0.49 0.45 0.49 152600 0.49
2021-05-24 0.49 0.54 0.436 0.47 68200 0.47
2021-05-25 0.45 0.49 0.45 0.49 3700 0.49
2021-05-26 0.535 0.535 0.51 0.51 2100 0.51
2021-05-27 0.51 0.51 0.51 0.51 0 0.51
2021-05-28 0.51 0.51 0.49 0.49 33000 0.49
2021-06-01 0.44 0.513 0.44 0.509 8400 0.509
2021-06-02 0.509 0.54 0.48 0.51 43000 0.51
2021-06-03 0.54 0.54 0.53 0.53 5100 0.53
2021-06-04 0.46 0.54 0.46 0.51 9800 0.51
2021-06-07 0.46 0.53 0.46 0.53 5300 0.53
2021-06-08 0.55 0.55 0.53 0.55 289800 0.55
2021-06-09 0.506 0.58 0.506 0.55 9900 0.55
2021-06-10 0.55 0.6 0.5 0.55 273400 0.55
2021-06-11 0.55 0.55 0.5 0.5 78900 0.5
2021-06-14 0.52 0.6 0.5 0.5 344700 0.5
2021-06-15 0.507 0.6 0.5 0.5 229700 0.5
2021-06-16 0.51 0.51 0.485 0.5 20178400 0.5
2021-06-17 0.5 0.55 0.45 0.5 2033200 0.5
2021-06-18 0.5 0.53 0.5 0.53 311500 0.53
2021-06-21 0.52 0.54 0.51 0.54 18800 0.54
2021-06-22 0.6 0.6 0.49 0.53 221500 0.53
2021-06-23 0.4 0.53 0.4 0.53 275700 0.53
2021-06-24 0.53 0.53 0.46 0.499 542500 0.499
2021-06-25 0.476 0.476 0.471 0.471 10200 0.471
2021-06-28 0.499 0.499 0.481 0.49 14100 0.49
2021-06-29 0.47 0.499 0.47 0.484 69500 0.484
2021-06-30 0.46 0.49 0.46 0.49 2500 0.49
2021-07-01 0.492 0.492 0.462 0.47 1208300 0.47
2021-07-02 0.462 0.48 0.462 0.464 9600 0.464
2021-07-06 0.495 0.495 0.47 0.47 7600 0.47
2021-07-07 0.497 0.51 0.47 0.47 37400 0.47
2021-07-08 0.45 0.495 0.45 0.495 42700 0.495
2021-07-09 0.495 0.495 0.476 0.49 3500 0.49
2021-07-12 0.46 0.495 0.46 0.495 500 0.495
2021-07-13 0.495 0.495 0.466 0.466 2200 0.466
2021-07-14 0.455 0.49 0.435 0.49 9419100 0.49
2021-07-15 0.49 0.49 0.45 0.49 41000 0.49
2021-07-16 0.461 0.461 0.45 0.452 18300 0.452
2021-07-19 0.45 0.45 0.45 0.45 5700 0.45
2021-07-20 0.46 0.46 0.45 0.45 3500 0.45
2021-07-21 0.436 0.436 0.436 0.436 100 0.436
2021-07-22 0.436 0.436 0.436 0.436 0 0.436
2021-07-23 0.49 0.49 0.49 0.49 400 0.49
2021-07-26 0.49 0.49 0.4 0.4 534500 0.4
2021-07-27 0.4 0.406 0.366 0.4 195400 0.4
2021-07-28 0.4 0.49 0.36 0.36 144000 0.36
2021-07-29 0.49 0.49 0.361 0.37 572200 0.37
2021-07-30 0.37 0.44 0.331 0.331 171600 0.331
2021-08-02 0.35 0.39 0.35 0.35 127000 0.35
2021-08-03 0.36 0.36 0.36 0.36 2000 0.36
2021-08-04 0.36 0.36 0.36 0.36 0 0.36
2021-08-05 0.38 0.38 0.38 0.38 200 0.38
2021-08-06 0.43 0.43 0.43 0.43 2300 0.43
2021-08-09 0.43 0.48 0.42 0.48 9200 0.48
2021-08-10 0.411 0.47 0.381 0.47 4300 0.47
2021-08-11 0.46 0.46 0.4 0.44 85600 0.44
2021-08-12 0.41 0.48 0.41 0.48 10800 0.48
2021-08-13 0.48 0.48 0.48 0.48 0 0.48
2021-08-16 0.4 0.53 0.4 0.47 35200 0.47
2021-08-17 0.45 0.45 0.45 0.45 29500 0.45
2021-08-18 0.45 0.45 0.45 0.45 0 0.45
2021-08-19 0.47 0.47 0.41 0.45 27600 0.45
2021-08-20 0.45 0.45 0.45 0.45 1000 0.45
2021-08-23 0.45 0.45 0.38 0.38 39500 0.38
2021-08-24 0.39 0.39 0.36 0.37 88300 0.37
2021-08-25 0.39 0.43 0.38 0.43 63100 0.43
2021-08-26 0.43 0.43 0.43 0.43 0 0.43
2021-08-27 0.55 0.55 0.43 0.43 9700 0.43
2021-08-30 0.5 0.5 0.45 0.45 44000 0.45
2021-08-31 0.401 0.5 0.401 0.45 111000 0.45
