Date Open High Low Close Volume Adjusted
2007-01-03 69 71.790001 69 70.32 1854800 58.281193
2007-01-04 70.330002 70.510002 69.449997 69.809998 1154700 57.858528
2007-01-05 69.349998 69.419998 68.760002 68.779999 947800 57.004864
2007-01-08 68.769997 69.139999 68.25 68.760002 745400 56.988289
2007-01-09 68.790001 68.989998 67.720001 68.199997 1068500 56.524166
2007-01-10 67.949997 69.199997 67.540001 68.919998 843500 57.120903
2007-01-11 69.150002 69.93 68.709999 69.790001 783200 57.841949
2007-01-12 69.510002 69.830002 68.669998 69.370003 795900 57.493858
2007-01-16 69.150002 69.57 68.790001 69.360001 860400 57.48555
2007-01-17 69.32 70.68 68.809998 70.540001 1425900 58.463562
2007-01-18 70.199997 71.099998 69.809998 70.68 2126500 58.579586
2007-01-19 70.739998 71.459999 70.730003 71.339996 1034200 59.126595
2007-01-22 71.209999 71.919998 70.910004 71.75 1271100 59.466393
2007-01-23 71.599998 72.599998 71.5 72.360001 1434000 59.971989
2007-01-24 72.209999 72.5 71.830002 72.379997 683000 59.988552
2007-01-25 72.5 72.599998 71.529999 71.82 1203800 59.524441
2007-01-26 71.910004 72.360001 70.379997 70.75 1015000 58.637619
2007-01-29 70.839996 71.730003 70.709999 71.239998 1065000 59.04372
2007-01-30 71.230003 71.5 70.5 70.599998 805200 58.513298
2007-01-31 70.550003 71.93 70.419998 71.559998 955700 59.308929
2007-02-01 71.949997 72.650002 71.849998 72.610001 1126300 60.179173
2007-02-02 72.610001 72.910004 72.330002 72.470001 733900 60.063145
2007-02-05 72.220001 72.669998 71.889999 72.089996 581500 59.748203
2007-02-06 72.400002 72.650002 72.010002 72.610001 675300 60.179173
2007-02-07 72.610001 74 72.120003 73.949997 1587400 61.289776
2007-02-08 73.849998 76.089996 73.849998 74.839996 1699800 62.027401
2007-02-09 75 75.25 73.660004 73.709999 1455800 61.090866
2007-02-12 73.199997 73.699997 71.730003 71.830002 1958100 59.532696
2007-02-13 71.839996 72.099998 70.809998 70.949997 2821900 58.803368
2007-02-14 71.099998 72.18 71.07 71.68 1626700 59.408398
2007-02-15 71.849998 72.25 71.440002 71.800003 930700 59.574348
2007-02-16 71.5 72.75 71.43 72.68 1308800 60.30447
2007-02-20 72.639999 72.879997 72.050003 72.699997 1337900 60.321095
2007-02-21 72.690002 72.699997 70.940002 71.209999 1931400 59.084797
2007-02-22 70.849998 70.860001 68.730003 68.790001 3301700 57.076862
2007-02-23 69 69 66.709999 67.43 4727000 55.948437
2007-02-26 66.75 66.860001 63.509998 65.370003 5238500 54.239208
2007-02-27 65.510002 66.099998 63.709999 64.879997 4129700 53.83263
2007-02-28 64.879997 65.660004 64.260002 64.720001 3203400 53.69989
2007-03-01 64.5 66.660004 63.009998 66.150002 3735900 54.886368
2007-03-02 66.5 68.25 65.599998 66.099998 3781200 54.844898
2007-03-05 65.470001 65.760002 64.309998 64.5 2772200 53.517345
2007-03-06 65.160004 66.080002 64.650002 65.709999 3166700 54.52129
2007-03-07 65.599998 66 64.68 65.010002 2433800 53.94051
2007-03-08 65.599998 66.169998 64.849998 65.309998 1931900 54.189434
2007-03-09 65.5 65.650002 64.5 64.830002 2682000 53.791149
2007-03-12 64.629997 64.639999 63.389999 63.57 2960800 52.745697
2007-03-13 63.060001 63.07 58.650002 59.560001 13429800 49.418476
2007-03-14 59.799999 60.720001 59.009998 60.23 6619200 49.974403
2007-03-15 60.400002 64.290001 60.34 63.509998 6605900 52.695915
2007-03-16 64.290001 65.279999 63.02 63.200001 5758400 52.438694
2007-03-19 64.269997 64.769997 63.240002 64.279999 3937500 53.334789
2007-03-20 63.98 64.599998 63.779999 64.43 2654100 53.459259
2007-03-21 64.889999 66.470001 64.300003 66.370003 2235500 55.068924
2007-03-22 65.080002 66.720001 65.080002 66.339996 2280300 55.044033
2007-03-23 66.300003 66.540001 65.480003 65.57 1792000 54.405144
2007-03-26 65.309998 65.32 63.799999 64.5 2493600 53.517345
2007-03-27 64.099998 64.220001 62.84 62.93 3423400 52.214664
