Date Open High Low Close Volume Adjusted
2007-01-03 29.91 30.25 29.4 29.860001 76935100 21.869667
2007-01-04 29.700001 29.969999 29.440001 29.809999 45774500 21.833036
2007-01-05 29.629999 29.75 29.450001 29.639999 44607200 21.708527
2007-01-08 29.65 30.1 29.530001 29.93 50220200 21.920927
2007-01-09 30 30.18 29.73 29.959999 44636600 21.942904
2007-01-10 29.799999 29.889999 29.43 29.66 55017400 21.723179
2007-01-11 29.76 30.75 29.65 30.700001 99464300 22.484884
2007-01-12 30.65 31.389999 30.639999 31.209999 103972500 22.858412
2007-01-16 31.26 31.450001 31.030001 31.16 62379600 22.821796
2007-01-17 31.26 31.440001 31.01 31.1 58519600 22.777838
2007-01-18 31.15 31.370001 30.799999 31 56364300 22.704601
2007-01-19 30.73 31.110001 30.690001 31.110001 75826900 22.785166
2007-01-22 31.059999 31.120001 30.51 30.719999 56143900 22.499531
2007-01-23 30.629999 30.959999 30.52 30.74 49171200 22.514183
2007-01-24 30.780001 31.299999 30.65 31.09 58527800 22.770525
2007-01-25 31.08 31.48 30.450001 30.450001 97378700 22.301777
2007-01-26 31.219999 31.23 30.6 30.6 96103700 22.41164
2007-01-29 30.65 30.780001 30.34 30.530001 57605900 22.360374
2007-01-30 30.57 30.639999 30.139999 30.48 61900400 22.323748
2007-01-31 30.41 31.1 30.35 30.860001 73968400 22.602062
2007-02-01 30.84 30.940001 30.370001 30.559999 55355800 22.382349
2007-02-02 30.82 30.84 30.129999 30.190001 60401700 22.111353
2007-02-05 29.969999 30.02 29.41 29.610001 99102100 21.68656
2007-02-06 29.59 29.75 29.219999 29.51 79281100 21.613325
2007-02-07 29.639999 29.700001 29.25 29.370001 65145500 21.510782
2007-02-08 29.24 29.799999 29.200001 29.26 48749000 21.430212
2007-02-09 29.35 29.4 28.93 28.98 69823100 21.225143
2007-02-12 28.889999 29.09 28.83 28.940001 52774400 21.195852
2007-02-13 29.040001 29.200001 28.959999 29.01 50348100 21.320789
2007-02-14 29.17 29.690001 29.15 29.4 55588600 21.607412
2007-02-15 29.58 29.65 29.219999 29.459999 63858100 21.651514
2007-02-16 28.91 28.940001 28.65 28.74 109340300 21.122351
2007-02-20 28.629999 28.860001 28.469999 28.83 53978200 21.188494
2007-02-21 28.75 29.389999 28.74 29.35 68604900 21.570671
2007-02-22 29.309999 29.540001 29.16 29.389999 57754400 21.600069
2007-02-23 29.219999 29.280001 28.889999 28.9 63787100 21.239944
2007-02-26 28.959999 29.09 28.82 29.07 63481900 21.364891
2007-02-27 28.709999 28.969999 27.790001 27.870001 87143300 20.482948
2007-02-28 27.950001 28.25 27.92 28.17 86333300 20.703434
2007-03-01 27.82 28.33 27.73 28.09 80175700 20.644638
2007-03-02 28.02 28.16 27.76 27.76 63254700 20.4021
2007-03-05 27.49 27.91 27.41 27.549999 56454300 20.24777
2007-03-06 27.799999 27.940001 27.65 27.83 49361800 20.453545
2007-03-07 27.76 27.9 27.549999 27.610001 52044700 20.291864
2007-03-08 27.719999 27.85 26.6 27.32 72175200 20.07873
2007-03-09 27.42 27.48 27.030001 27.290001 80125000 20.056681
2007-03-12 27.18 27.48 27.129999 27.440001 36516400 20.166916
2007-03-13 27.25 27.4 26.709999 26.719999 75169500 19.637762
2007-03-14 26.82 27.4 26.73 27.4 75730300 20.13752
2007-03-15 27.32 27.469999 27.200001 27.280001 51757100 20.049334
2007-03-16 27.35 27.48 27.200001 27.33 65055300 20.086081
2007-03-19 27.34 27.83 27.200001 27.83 49412000 20.453545
2007-03-20 27.93 28.16 27.76 27.84 47902400 20.460901
2007-03-21 27.9 28.52 27.559999 28.52 72808200 20.96067
2007-03-22 28.52 28.549999 28.01 28.27 47934900 20.776928
2007-03-23 28.219999 28.27 27.799999 28.02 50519800 20.593185
2007-03-26 27.940001 28.219999 27.700001 28.219999 47491500 20.740183
2007-03-27 28.040001 28.16 27.65 27.719999 58979800 20.372707
2007-03-28 27.58 28 27.4 27.639999 46947000 20.313906
2007-03-29 27.84 27.85 27.49 27.75 42629900 20.394756
2007-03-30 27.75 27.950001 27.5 27.870001 47061000 20.482948
2007-04-02 27.889999 27.93 27.559999 27.74 41977600 20.387405
