Date Open High Low Close Volume Adjusted
2007-01-03 52.213261 52.365589 51.980286 52.096775 1688173 30.651974
2007-01-04 52.616486 52.948029 52.526882 52.849461 1459616 31.094826
2007-01-05 53.091396 53.297489 52.7957 53.091396 2722705 31.237175
2007-01-08 52.311829 52.419353 51.989246 52.159496 1272575 30.688877
2007-01-09 51.962364 52.043011 51.451614 51.5681 4151743 30.340914
2007-01-10 51.693546 51.854839 51.523296 51.765232 1498788 30.456905
2007-01-11 51.765232 52.168461 51.693546 51.971325 747497 30.578165
2007-01-12 51.899643 52.275986 51.666668 52.141579 1369332 30.678331
2007-01-16 52.867386 52.96595 52.616486 52.777779 1425578 31.052656
2007-01-17 52.867386 53.521503 52.625446 53.342293 1748214 31.384794
2007-01-18 52.231182 52.410393 51.971325 52.016129 3284165 30.604527
2007-01-19 52.007168 52.625446 51.980286 52.464157 1671991 30.868126
2007-01-22 52.132614 52.177418 51.415771 51.415771 3092101 30.251297
2007-01-23 52.043011 52.195339 51.765232 52.150539 2562448 30.683605
2007-01-24 52.087814 52.302868 52.051971 52.284946 1083078 30.762684
2007-01-25 52.374554 52.446236 52.060932 52.2043 2101986 30.715239
2007-01-26 51.756271 51.818996 51.353046 51.559139 2618582 30.335642
2007-01-29 51.845879 52.069893 51.550179 51.657707 3088195 30.393637
2007-01-30 51.729389 51.747311 51.514336 51.550179 3668627 30.33037
2007-01-31 51.353046 51.854839 51.299282 51.693546 1677906 30.414726
2007-02-01 52.105736 52.508961 52.105736 52.410393 2483435 30.836496
2007-02-02 52.195339 52.508961 52.016129 52.473118 1799550 30.873392
2007-02-05 52.356632 52.473118 52.2043 52.311829 1722434 30.778503
2007-02-06 52.903225 53.127239 52.768818 52.974911 3751769 31.16864
2007-02-07 53.189964 53.26165 52.831539 52.956989 1466312 31.158094
2007-02-08 52.580647 52.732975 52.374554 52.571686 1652908 30.931395
2007-02-09 52.455196 52.643368 52.275986 52.320789 771491 30.783775
2007-02-12 52.598564 52.625446 52.195339 52.311829 1532714 30.778503
2007-02-13 52.759857 52.759857 52.419353 52.571686 2111695 30.931395
2007-02-14 52.894264 53.440861 52.894264 53.324371 1649113 31.37425
2007-02-15 53.566307 53.673836 53.297489 53.494625 1443546 31.474421
2007-02-16 53.691757 54.086021 52.069893 53.082436 5128466 31.231897
2007-02-20 52.482079 52.750896 52.267025 52.589607 2057346 30.941938
2007-02-21 52.150539 52.284946 51.810036 52.123657 3699540 30.667786
2007-02-22 51.702511 51.998207 51.657707 51.872761 2480645 30.520168
2007-02-23 52.32975 52.706093 52.159496 52.553764 2054779 30.920845
2007-02-26 51.514336 51.962364 50.994625 51.182796 10580238 30.114223
2007-02-27 50.564514 50.582436 49.462364 49.569893 7128338 29.165239
2007-02-28 50.116486 50.179211 49.560932 49.668461 3996508 29.223234
2007-03-01 49.014336 49.507168 48.7276 49.372761 2945459 29.049253
2007-03-02 49.283154 49.767025 49.032257 49.202511 1929676 28.949091
2007-03-05 48.915771 49.354839 48.835125 48.951614 1854904 28.801464
2007-03-06 50.358421 51.137993 50.179211 50.940861 5834225 30.576916
2007-03-07 50.430107 51.155914 50.403225 50.645161 2036030 30.399426
2007-03-08 50.6362 50.976704 50.322582 50.806454 1493208 30.496243
2007-03-09 50.322582 50.609318 50.277779 50.421146 1483610 30.264957
2007-03-12 50.430107 50.672043 50.358421 50.627239 789235 30.388672
2007-03-13 50.582436 50.976704 50.224014 50.268818 1764284 30.173527
2007-03-14 50.573479 50.707886 50.268818 50.627239 1338084 30.388672
2007-03-15 50.286739 50.734768 50.268818 50.501793 2231219 30.313372
2007-03-16 51.164875 51.487453 50.913979 51.173836 1437408 30.716755
2007-03-19 50.851254 50.985664 50.573479 50.833332 939337 30.512375
2007-03-20 50.609318 51.048386 50.609318 50.976704 1326031 30.598434
2007-03-21 50.851254 51.917564 50.779572 51.818996 1135976 31.10401
2007-03-22 51.326164 51.326164 51.030464 51.146954 1058526 30.700623
2007-03-23 51.362007 51.362007 50.922939 51.182796 1435064 30.722141
2007-03-26 51.030464 51.460571 50.949821 51.406811 1146578 30.856602
2007-03-27 50.896057 51.003586 50.734768 50.743729 1214989 30.45859
2007-03-28 50.815411 50.896057 50.376343 50.421146 1039219 30.264957
2007-03-29 50.76165 51.075268 50.681004 50.976704 652302 30.598434
2007-03-30 51.084229 51.657707 48.682796 48.951614 7666808 29.382881
2007-04-02 49.3638 49.659496 48.629032 49.641579 5298991 29.797029
2007-04-03 49.53405 49.731182 49.283154 49.3638 3590618 29.630297
2007-04-04 49.274193 49.632614 49.23835 49.632614 2316928 29.791651
2007-04-05 49.865589 50.062725 49.686378 49.964157 1058972 29.990656
2007-04-09 49.775986 49.892471 49.426521 49.551971 896929 29.743242
2007-04-10 49.928314 50.044804 49.695339 49.722221 3112524 29.845442
2007-04-11 49.462364 50.448029 49.112904 49.3638 4291578 29.630297
2007-04-12 49.462364 49.847672 49.274193 49.7043 4474714 29.834679
2007-04-13 50.582436 50.76165 50.206093 50.510754 1473901 30.318752
2007-04-16 50.869175 50.887096 50.573479 50.779572 1582823 30.48011
2007-04-17 50.797489 51.066307 50.725807 50.949821 2406989 30.582294
2007-04-18 51.164875 51.39785 50.770611 50.976704 1926774 30.598434
2007-04-19 51.021503 51.424732 50.9319 51.263439 1187089 30.770546
2007-04-20 51.559139 51.818996 51.451614 51.818996 1122808 31.10401
2007-04-23 52.078854 52.213261 51.415771 51.469536 1535728 30.894245
2007-04-24 52.159496 52.320789 52.007168 52.293907 2066609 31.389076
2007-04-25 51.998207 52.32975 51.944443 52.302868 1250032 31.394453
2007-04-26 52.374554 52.7957 52.275986 52.652328 1586617 31.604219
2007-04-27 52.894264 53.001793 52.464157 52.894264 1932242 31.749437
2007-04-30 52.5 52.643368 52.007168 52.051971 1824214 31.243855
2007-05-01 51.926521 52.069893 51.684589 51.801075 1428368 31.093256
2007-05-02 51.899643 52.5 51.872761 52.437275 2001992 31.47513
2007-05-03 52.114697 52.141579 51.845879 51.998207 967237 31.211578
2007-05-04 52.697132 52.768818 52.446236 52.553764 1400692 31.54505
2007-05-07 52.383514 52.580647 52.347672 52.464157 986209 31.491266
2007-05-08 52.016129 52.150539 51.854839 52.096775 1301256 31.27075
2007-05-09 52.240143 52.293907 51.890682 52.078854 1545995 31.259995
2007-05-10 51.532257 51.657707 51.057346 51.057346 1002503 30.646839
2007-05-11 51.424732 51.469536 51.173836 51.415771 2209345 30.861979
2007-05-14 51.487453 51.550179 51.335125 51.433693 900835 30.872734
2007-05-15 51.603943 51.792114 51.442654 51.487453 1789283 30.90501
2007-05-16 51.406811 51.478497 51.012547 51.469536 1500239 30.894245
2007-05-17 50.197132 51.487453 50.197132 51.2276 1053392 30.749027
2007-05-18 51.012547 51.075268 50.707886 50.815411 5091080 30.501625
2007-05-21 50.430107 50.564514 49.596775 49.7043 6674461 29.834679
2007-05-22 49.560932 49.883514 48.709679 49.731182 4780051 29.850819
2007-05-23 50.161289 50.268818 50 50.044804 5597186 30.039063
2007-05-24 50.206093 50.358421 50.089607 50.250896 3023021 30.162766
2007-05-25 50.331539 50.376343 50.188171 50.286739 1427810 30.184282
2007-05-29 50.403225 50.483871 50.268818 50.304661 1795532 30.195045
2007-05-30 50.179211 50.573479 50.152328 50.456989 2684426 30.286476
