Date Open High Low Close Volume Adjusted
2007-01-03 35.669998 35.779999 34.779999 34.950001 33694300 15.480555
2007-01-04 34.950001 35.240002 34.07 34.5 44285400 15.281235
2007-01-05 34.400002 34.540001 33.950001 33.959999 36561800 15.042048
2007-01-08 33.400002 34.009998 33.209999 33.810001 40237400 15.133814
2007-01-09 33.849998 34.41 33.66 33.939999 40082600 15.192003
2007-01-10 34.200001 35 31.940001 34.029999 29964300 15.232283
2007-01-11 34.09 34.52 33.599998 34.490002 24335100 15.438188
2007-01-12 34.599998 34.91 34.419998 34.73 20216700 15.545617
2007-01-16 34.939999 34.950001 34.439999 34.630001 16349700 15.500857
2007-01-17 34.599998 34.66 34.310001 34.490002 17907600 15.438188
2007-01-18 34.650002 35.810001 34.400002 35.02 27959700 15.675422
2007-01-19 35.299999 35.349998 34.869999 35.07 21667700 15.697803
2007-01-22 35.240002 35.529999 35 35.27 21407700 15.787327
2007-01-23 35.139999 35.740002 34.990002 35.360001 17772400 15.827613
2007-01-24 36.060001 36.950001 35.849998 36.630001 34047400 16.396078
2007-01-25 37.299999 37.700001 36.48 36.790001 31644000 16.467705
2007-01-26 36.369999 36.790001 36 36.400002 24425400 16.293125
2007-01-29 36.349998 36.939999 36.290001 36.509998 19843900 16.342367
2007-01-30 36.619999 37.189999 36.57 37.09 19797900 16.601988
2007-01-31 37.080002 37.880001 37.080002 37.630001 28401000 16.843702
2007-02-01 37.700001 37.810001 37.470001 37.75 19829500 16.897408
2007-02-02 37.75 38.18 37.610001 38.119999 20842400 17.063023
2007-02-05 37.669998 38.099998 37.650002 37.790001 25967600 16.915314
2007-02-06 37.700001 37.959999 37.439999 37.509998 22771000 16.78998
2007-02-07 37.439999 37.610001 36.880001 37.16 34762800 16.63332
2007-02-08 37.080002 37.5 36.939999 37.380001 16408500 16.731791
2007-02-09 37.490002 37.720001 36.830002 36.900002 20594500 16.516939
2007-02-12 36.75 37.150002 36.689999 36.959999 13338200 16.543793
2007-02-13 36.900002 37.369999 36.84 37.189999 13865300 16.646742
2007-02-14 37.25 37.560001 37.080002 37.189999 21634700 16.646742
2007-02-15 37.310001 37.369999 37.029999 37.23 14170000 16.66465
2007-02-16 37.02 37.490002 36.869999 37.48 16460800 16.776556
2007-02-20 37.509998 37.75 37.349998 37.360001 17002300 16.722843
2007-02-21 37.5 37.5 37.18 37.209999 16159800 16.655689
2007-02-22 37.16 37.400002 36.889999 37.049999 14782000 16.584072
2007-02-23 36.98 37.169998 36.799999 37 12230000 16.561701
2007-02-26 37 37.57 36.98 37.5 20111100 16.785503
2007-02-27 37.32 37.720001 35.189999 36.150002 33856700 16.181234
2007-02-28 36.700001 36.889999 36.209999 36.799999 28719400 16.472174
2007-03-01 36.169998 36.98 35.75 36.709999 25318800 16.431892
2007-03-02 36.650002 36.990002 36.360001 36.439999 20460100 16.311037
2007-03-05 36.040001 36.790001 35.599998 35.720001 23101300 15.98875
2007-03-06 36.049999 36.18 35.66 36 23282700 16.114088
2007-03-07 35.779999 36.029999 35.279999 35.43 27808600 15.858948
2007-03-08 35.939999 36.709999 35.799999 36.509998 20621900 16.342367
2007-03-09 36.889999 36.889999 36.349998 36.549999 14731500 16.360273
2007-03-12 36.380001 37.439999 36.349998 37.060001 21851700 16.588556
2007-03-13 36.73 37.48 36.650002 37.259998 28152200 16.678076
2007-03-14 37.259998 37.330002 36.450001 37.209999 26124000 16.655689
2007-03-15 37.119999 37.200001 36.68 36.939999 17396200 16.53484
2007-03-16 37.110001 37.310001 36.75 36.98 28287800 16.552746
2007-03-19 37.169998 37.799999 37.130001 37.580002 21328700 16.82131
2007-03-20 37.490002 38.040001 37.369999 37.91 16990000 16.969025
2007-03-21 37.709999 39.080002 37.099998 38.860001 32962100 17.39426
2007-03-22 38.57 39.439999 38.560001 39.110001 26769600 17.506165
2007-03-23 39.330002 39.330002 38.75 38.880001 20745900 17.403214
2007-03-26 39 39.349998 38.650002 39.310001 22727000 17.595686
2007-03-27 39.099998 39.860001 39.09 39.439999 28358200 17.653875
2007-03-28 39.509998 39.509998 38.77 38.950001 24869900 17.434544
2007-03-29 39.279999 39.32 38.759998 39.169998 17314300 17.53302
2007-03-30 39.27 39.540001 39.110001 39.43 22285500 17.649399
2007-04-02 39.720001 39.790001 39.060001 39.459999 39047100 17.662825
2007-04-03 39.700001 39.900002 39.59 39.740002 24036400 17.788162
2007-04-04 39.740002 39.759998 39.220001 39.23 20512700 17.559872
2007-04-05 38.900002 39.349998 38.700001 39.27 14726200 17.7383
2007-04-09 39.450001 39.66 39.150002 39.330002 13828200 17.7654
2007-04-10 39.32 39.509998 39.009998 39.450001 13939900 17.819605
2007-04-11 39.439999 39.439999 38.830002 38.939999 14870000 17.58923
2007-04-12 38.939999 38.939999 38.48 38.66 16976700 17.462761
2007-04-13 38.75 39 38.380001 38.84 15172900 17.544062
2007-04-16 39.27 39.400002 39.049999 39.259998 13673400 17.733784
2007-04-17 39.150002 39.25 38.959999 39.189999 15665600 17.702156
2007-04-18 39.200001 39.209999 38.830002 38.970001 13636800 17.602797
2007-04-19 38.970001 39.459999 38.919998 39.310001 16605600 17.756372
2007-04-20 39.439999 39.900002 39.439999 39.869999 23587300 18.009308
