Date Open High Low Close Volume Adjusted
2007-01-03 75.449997 75.980003 74.400002 74.970001 3955300 48.533638
2007-01-04 75.25 75.5 74.519997 75.089996 2306000 48.611317
2007-01-05 75.040001 75.040001 73.620003 74.150002 3602400 48.002789
2007-01-08 74.160004 74.589996 73.739998 74.379997 2354800 48.151688
2007-01-09 74.980003 75 73.910004 74.080002 3322200 47.957462
2007-01-10 73.75 73.849998 73.25 73.629997 2895100 47.666168
2007-01-11 73.629997 73.879997 73.550003 73.650002 3060900 47.6791
2007-01-12 73.650002 74.470001 73.349998 74.440002 3027600 48.190514
2007-01-16 74.800003 75.349998 74.610001 74.879997 3693000 48.47538
2007-01-17 74.949997 75.220001 74.68 75 2737600 48.55307
2007-01-18 75.120003 75.400002 74.620003 74.809998 2895700 48.430061
2007-01-19 75.300003 75.300003 74.75 75.019997 4242100 48.565998
2007-01-22 75.050003 75.169998 73.720001 74.279999 3972600 48.086941
2007-01-23 74.290001 74.290001 73.419998 73.620003 2702800 47.659664
2007-01-24 73.900002 74.82 73.620003 74.449997 3481600 48.196991
2007-01-25 74.440002 74.449997 73.43 73.610001 2706500 47.653194
2007-01-26 73.800003 73.800003 72.209999 72.489998 4726200 46.928154
2007-01-29 72.5 73.82 72.470001 73.650002 3937400 47.6791
2007-01-30 71.169998 72.699997 70.379997 72.699997 12995800 47.064098
2007-01-31 72.300003 72.610001 71.5 72.279999 6078800 46.792194
2007-02-01 72.849998 73.739998 72.739998 73.639999 4495700 47.672634
2007-02-02 73.57 74.480003 73.5 74.169998 5510000 48.015736
2007-02-05 74.18 74.330002 73.650002 73.68 2751500 47.698494
2007-02-06 73.699997 74 73.660004 73.93 2259700 47.860374
2007-02-07 74.160004 74.160004 73.459999 73.919998 2461100 47.853901
2007-02-08 73.919998 73.93 73.209999 73.330002 2348500 47.471924
2007-02-09 74.120003 74.239998 73.279999 73.559998 3573800 47.620846
2007-02-12 73.949997 74.089996 73.68 73.870003 2636700 47.821518
2007-02-13 73.900002 74.449997 73.57 74.389999 3617300 48.158165
2007-02-14 74.510002 75.32 74.510002 75.019997 4576900 48.565998
2007-02-15 75 75.190002 74.389999 74.480003 3738800 48.487885
2007-02-16 74.199997 74.599998 73.830002 74.040001 3249700 48.20142
2007-02-20 74 74.239998 73.699997 73.900002 2550200 48.110283
2007-02-21 73.769997 74.099998 73.449997 73.800003 2891300 48.045189
2007-02-22 73.769997 74.18 73.260002 73.400002 2760600 47.784771
2007-02-23 73.400002 73.400002 72.75 73.339996 3844700 47.745708
2007-02-26 73.480003 73.739998 72.690002 72.790001 3836400 47.387657
2007-02-27 72.599998 72.599998 70 70.230003 6281200 45.721046
2007-02-28 70.400002 70.93 69.93 70.190002 7900600 45.695023
2007-03-01 69.400002 70.300003 68.660004 70.120003 4972800 45.649456
2007-03-02 69.949997 70.099998 69.339996 69.470001 3676800 45.226276
2007-03-05 69.269997 70.110001 68.75 69.699997 7667000 45.376003
2007-03-06 70 70.239998 69.419998 69.910004 4800800 45.512726
2007-03-07 69.910004 70.349998 69.779999 70 4024800 45.571308
2007-03-08 70.089996 70.5 69.75 69.870003 3170600 45.486687
2007-03-09 70.949997 70.989998 70.370003 70.629997 3071500 45.981445
2007-03-12 70.879997 71.389999 70.620003 71.150002 3238800 46.319988
2007-03-13 70.5 70.980003 69.760002 69.910004 4159900 45.512726
2007-03-14 70.120003 70.32 68.75 70.230003 5049200 45.721046
2007-03-15 70.300003 70.639999 69.330002 69.410004 4343700 45.187202
2007-03-16 69.699997 69.82 68.809998 69.260002 6065400 45.089565
2007-03-19 69.650002 69.849998 69.07 69.480003 3494000 45.232796
2007-03-20 69.279999 70.379997 69.260002 70.25 2839400 45.734062
2007-03-21 69.699997 71.32 69.339996 71.279999 5350600 46.404617
2007-03-22 70.709999 71.379997 70.57 71.089996 3341600 46.28091
2007-03-23 71.129997 71.629997 70.790001 71.470001 3123600 46.528313
2007-03-26 71.25 71.349998 70.5 71.309998 2782100 46.424149
2007-03-27 71.029999 71.160004 70.639999 70.900002 2160000 46.15723
2007-03-28 70.599998 70.900002 70.040001 70.400002 3141600 45.831734
2007-03-29 71.489998 71.489998 69.620003 70.160004 3389300 45.67548
2007-03-30 70.160004 70.730003 69.589996 70.099998 3216900 45.636414
2007-04-02 70.089996 70.139999 69.529999 69.860001 3251700 45.480167
2007-04-03 70 70.410004 69.75 69.959999 3802800 45.545261
2007-04-04 69.800003 69.980003 69.57 69.879997 3278500 45.493176
2007-04-05 69.75 70.389999 69.650002 70.260002 3813900 45.740578
2007-04-09 70.239998 70.989998 70 70.089996 2729500 45.629906
2007-04-10 70.07 70.900002 70 70.790001 3257200 46.085617
2007-04-11 70.620003 70.760002 70.190002 70.470001 3452100 45.877296
2007-04-12 70.290001 70.599998 69.809998 70.379997 2920400 45.818695
2007-04-13 70.809998 70.809998 69.709999 70.309998 2679100 45.773129
2007-04-16 70.410004 71.169998 70.190002 71.080002 2963900 46.27441
2007-04-17 71.25 71.879997 70.860001 71.639999 2762800 46.638985
2007-04-18 71.150002 71.580002 71.089996 71.400002 2788500 46.482754
2007-04-19 71.75 72.050003 71 71.989998 3236000 46.866856
2007-04-20 71.989998 73.199997 71.989998 72.82 5555800 47.407196
2007-04-23 72.650002 73 71.900002 71.940002 2575200 46.834297
2007-04-24 71.809998 72.150002 71.440002 71.93 3482200 46.827774
2007-04-25 71.480003 73.050003 71.110001 73 4411100 47.524364
2007-04-26 72.400002 72.75 71.650002 71.910004 5186400 46.814766
2007-04-27 71.870003 71.900002 71.089996 71.5 3895900 46.547844
2007-04-30 71.389999 71.519997 70.370003 70.43 4423100 45.851246
2007-05-01 70.599998 70.68 69.709999 69.940002 5320900 45.532249
2007-05-02 70 70.879997 70 70.739998 4514300 46.053059
2007-05-03 70.970001 71.400002 70.660004 70.889999 3284000 46.150723
2007-05-04 70.989998 71.339996 70.830002 71.089996 2524900 46.28091
2007-05-07 71.339996 71.480003 70.75 70.779999 2178900 46.079109
2007-05-08 70.620003 70.889999 70.25 70.839996 2739200 46.118156
