Date Open High Low Close Volume Adjusted
2007-01-03 46.517368 46.608776 45.319927 45.749542 15084291 29.709091
2007-01-04 45.603291 45.603291 44.643509 44.689213 16571474 29.020519
2007-01-05 44.680073 45.219379 44.314442 45.118832 13854635 29.299517
2007-01-08 45.648994 46.005486 44.890312 45.127972 13070237 29.30545
2007-01-09 44.734917 45.100548 44.296162 44.734917 14909688 29.050209
2007-01-10 44.570385 45.329067 43.564899 44.067642 15918028 28.616882
2007-01-11 44.378429 45.648994 44.104206 44.478977 18752254 28.884003
2007-01-12 44.780621 46.389397 44.725777 46.224861 15705902 30.017742
2007-01-16 46.014626 46.316273 45.383911 45.511883 11319727 29.554754
2007-01-17 45.676418 46.563072 45.557587 46.307129 12863361 30.071178
2007-01-18 46.297989 46.755028 45.502743 45.667274 12462957 29.655659
2007-01-19 45.877514 46.755028 45.776966 46.65448 14343981 30.296743
2007-01-22 47.029251 47.934185 46.846436 47.458866 18251749 30.819096
2007-01-23 47.687386 48.692871 47.687386 48.436928 15003444 31.454235
2007-01-24 48.126144 49.113346 47.669106 48.948811 12229279 31.78664
2007-01-25 48.829983 48.957951 47.541134 47.659962 9963277 30.949669
2007-01-26 47.952469 48.290676 47.669106 47.979889 9002526 31.157423
2007-01-29 48.208408 48.903107 47.760513 48.089581 12403881 31.228678
2007-01-30 48.619743 49.469833 48.446068 49.223034 12747726 31.964727
2007-01-31 49.259598 49.780621 48.793419 49.616089 13800919 32.219967
2007-02-01 50.648994 51.645336 50.365631 51.215721 22293313 33.258743
2007-02-02 51.691044 51.718464 50.594151 51.398537 11794305 33.37746
2007-02-05 51.627056 51.67276 50.648994 50.904938 11145344 33.056934
2007-02-06 51.371117 51.416821 50.393051 50.548447 9337399 32.82542
2007-02-07 50.731262 51.234005 50.201096 50.484463 8913803 32.783875
2007-02-08 50.310787 51.243145 49.926872 51.115173 10710260 33.193447
2007-02-09 51.361973 51.407677 50.511883 50.84095 10928622 33.015373
2007-02-12 50.274223 50.502743 49.945156 50.329067 10587732 32.753624
2007-02-13 50.594151 51.142597 50.539307 50.978062 7443248 33.175987
2007-02-14 51.215721 51.590492 50.639854 51.106033 9620636 33.25927
2007-02-15 50.877514 51.160877 50.502743 50.786106 8357175 33.051041
2007-02-16 50.557587 51.243145 50.502743 51.151737 6644737 33.289005
2007-02-20 50.466179 51.160877 50.292503 51.160877 7207710 33.294956
2007-02-21 51.188301 53.107861 51.142597 52.925045 17460459 34.443073
2007-02-22 52.989033 53.921391 52.851921 53.729431 13929574 34.966541
2007-02-23 53.948811 54.524681 53.500916 53.720291 11595744 34.960594
2007-02-26 54.369286 54.542961 53.610603 53.930531 9999488 35.097427
2007-02-27 52.897621 53.930531 51.051189 52.449726 16501349 34.133732
